,particle,x,y,time step
503,4,5.21052,4.92045,6
504,5,5.37921,4.693,6
505,6,5.20993,4.65084,6
506,7,4.98758,5.62699,6
507,8,5.75236,5.33289,6
508,9,5.52259,4.83626,6
509,10,5.08229,4.90259,6
510,11,5.15732,4.83272,6
511,12,5.33293,5.27903,6
512,13,5.50936,4.98192,6
513,14,4.32719,5.22911,6
514,15,5.73196,4.47586,6
515,16,4.6834,5.44172,6
516,17,4.86554,5.75715,6
517,18,4.77877,5.23672,6
518,19,5.72122,5.34006,6
519,20,5.77692,5.18556,6
520,21,5.16291,4.59737,6
521,22,5.29687,4.98007,6
522,23,5.18776,4.56143,6
523,24,5.17633,4.9729,6
524,25,5.11367,4.64124,6
525,26,5.43303,4.5474,6
526,27,5.105,5.14586,6
527,28,4.53416,4.9275,6
528,29,4.73594,4.6868,6
529,30,4.68845,5.46183,6
530,31,4.68854,4.4275,6
531,32,5.04303,5.63838,6
532,33,5.02219,5.16648,6
533,34,4.76979,4.37214,6
534,35,5.67173,5.08408,6
535,36,4.87909,4.89771,6
536,37,5.13494,4.45477,6
537,38,4.51392,5.10747,6
538,39,5.31379,4.86564,6
539,40,5.6029,4.96559,6
540,41,4.95946,4.23333,6
541,42,5.05075,5.27956,6
542,43,4.93816,4.72995,6
543,44,5.5403,5.33287,6
544,45,5.45167,4.90456,6
545,46,4.441,5.47588,6
546,47,4.87381,5.13208,6
547,48,4.48801,5.3721,6
548,49,5.07448,4.53502,6
549,50,4.90566,4.73118,6
550,51,5.82853,4.59657,6
551,52,4.89001,5.3217,6
552,53,5.12351,4.46478,6
553,54,5.59479,5.29247,6
554,55,5.0355,4.5955,6
555,56,4.57967,4.92935,6
556,57,5.43382,5.55652,6
557,58,4.59257,4.40481,6
558,59,5.63903,4.87069,6
559,60,5.08988,5.02859,6
560,61,5.66138,5.21779,6
561,62,4.84632,4.99135,6
562,63,5.22667,4.82297,6
563,64,4.91824,4.81748,6
564,65,5.74772,5.24014,6
565,66,4.92852,5.59391,6
566,67,4.77801,4.60358,6
567,68,4.77246,4.89526,6
568,69,5.1585,5.05179,6
569,70,4.6523,4.95661,6
570,71,4.85511,4.90796,6
571,72,5.39823,4.44545,6
572,73,4.95649,5.41268,6
573,74,5.17972,5.23932,6
574,75,5.01753,5.44131,6
575,76,5.45607,4.75855,6
576,77,5.5373,5.02299,6
577,78,4.99473,4.81105,6
578,79,5.44454,4.44966,6
579,80,5.35206,5.35276,6
580,81,5.02733,5.16274,6
581,82,5.22036,5.34674,6
582,83,4.92224,4.65717,6
583,84,5.31591,5.58684,6
584,85,5.09775,4.95449,6
585,86,4.79132,5.17811,6
586,87,4.66449,5.08229,6
587,88,4.66971,5.51304,6
588,89,4.44624,4.58023,6
589,90,5.20154,5.34548,6
590,91,5.17702,4.8412,6
591,92,4.39019,4.50673,6
592,93,4.49975,5.34791,6
593,94,4.5572,5.15449,6
594,95,5.44515,4.55913,6
595,96,4.95196,4.54542,6
596,97,4.85149,5.76424,6
597,98,4.31191,4.91238,6
598,99,5.37152,5.82247,6
599,100,4.8142,5.26294,6
600,1,5.0728,5.21127,7
601,2,5.18181,5.07977,7
602,3,5.09203,5.61254,7
603,4,5.10543,4.75028,7
604,5,5.24819,4.8441,7
605,6,5.22705,4.45157,7
606,7,4.78784,5.61675,7
607,8,5.9409,5.3996,7
608,9,5.32427,4.81043,7
609,10,4.94337,4.75871,7
610,11,5.29568,4.6883,7
611,12,5.47152,5.13483,7
612,13,5.31113,5.00847,7
613,14,4.15711,5.33434,7
614,15,5.91057,4.38587,7
615,16,4.5614,5.6002,7
616,17,4.96158,5.58173,7
617,18,4.96353,5.16015,7
618,19,5.88607,5.22682,7
619,20,5.77605,4.98556,7
620,21,5.05658,4.42799,7
621,22,5.46415,4.87044,7
622,23,5.34005,4.69107,7
623,24,4.97802,4.99883,7
624,25,4.9722,4.78261,7
625,26,5.37169,4.73776,7
626,27,5.04071,4.95647,7
627,28,4.5965,4.73746,7
628,29,4.57172,4.57265,7
629,30,4.84206,5.58991,7
630,31,4.48958,4.44792,7
631,32,5.22068,5.54651,7
632,33,5.03735,5.3659,7
633,34,4.69861,4.18524,7
634,35,5.47439,5.0516,7
635,36,4.98319,5.06848,7
636,37,5.12882,4.25486,7
637,38,4.6614,5.24256,7
638,39,5.19793,4.70262,7
639,40,5.70846,4.79572,7
640,41,4.90579,4.42599,7
641,42,4.86694,5.3584,7
642,43,5.13761,4.71511,7
643,44,5.68368,5.47231,7
644,45,5.6513,4.89237,7
645,46,4.40813,5.2786,7
646,47,4.82952,5.32712,7
647,48,4.30464,5.29225,7
648,49,5.27365,4.55318,7
649,50,4.70706,4.75481,7
650,51,5.7492,4.41298,7
651,52,4.69513,5.36665,7
652,53,5.26264,4.60845,7
653,54,5.39956,5.24904,7
654,55,5.2177,4.51302,7
655,56,4.53217,4.73508,7
656,57,5.43434,5.75652,7
657,58,4.56401,4.20686,7
658,59,5.48084,4.99307,7
659,60,4.88988,5.02781,7
660,61,5.80832,5.08211,7
661,62,4.82574,5.19028,7
662,63,5.40368,4.72986,7
663,64,4.87322,5.01235,7
664,65,5.89269,5.37792,7
665,66,5.12847,5.59847,7
666,67,4.97801,4.60187,7
667,68,4.64897,5.05258,7
668,69,5.00476,4.92387,7
669,70,4.74305,4.77838,7
670,71,4.68495,5.01305,7
671,72,5.5594,4.32702,7
672,73,4.91374,5.60806,7
673,74,4.98306,5.2757,7
674,75,4.82417,5.49244,7
675,76,5.25652,4.77207,7
676,77,5.71248,4.92649,7
677,78,4.80306,4.75394,7
678,79,5.44213,4.64964,7
679,80,5.35064,5.55276,7
680,81,5.16564,5.01828,7
681,82,5.10321,5.50883,7
682,83,4.74781,4.55932,7
683,84,5.20643,5.75421,7
684,85,4.91348,4.87674,7
685,86,4.94791,5.05369,7
686,87,4.46658,5.1111,7
687,88,4.77578,5.6826,7
