,spot ID,Track ID,T (sec),x (micron),y (micron),Frame,Ids,squared displacement,dt,vx,vy,speed
4478,131679,57,313.102,133.877,121.095,94,,201.22838799999994,1.0,0.09306514560192203,0.0,0.09306514560192203
4479,131681,57,316.433,134.447,121.095,95,,213.64640799999978,1.0,0.17111978384869203,0.0,0.17111978384869203
4480,131683,57,319.764,134.602,121.302,96,,221.07751399999995,1.0,0.046532572800961014,0.06214350045031758,0.07763436725893602
4481,131685,57,323.095,135.068,121.147,97,,228.89730100000014,1.0,0.13989792854998745,-0.046532572800961014,0.14743375035606376
4482,131687,57,326.426,135.068,121.147,98,,228.89730100000014,1.0,0.0,0.0,0.0
4483,131689,57,329.757,134.55,121.147,99,,216.94186100000013,1.0,-0.15550885619933974,0.0,0.15550885619933974
4484,131691,57,333.087,134.55,121.147,100,,216.94186100000013,1.0,0.0,0.0,0.0
4485,131693,57,336.418,134.084,121.199,101,,207.6327089999998,1.0,-0.13989792854998745,0.015610927649352296,0.1407662298800771
4486,131695,57,339.749,133.877,120.94,102,,198.33283299999994,1.0,-0.06214350045031331,-0.07775442809966987,0.09953675571026425
4487,131697,57,343.08,133.256,121.095,103,,188.43889299999975,1.0,-0.18643050135094846,0.046532572800961014,0.19214997310809787
4488,131699,57,346.411,133.205,121.043,104,,186.44605200000012,1.0,-0.01531071750224789,-0.015610927649352296,0.021865935436357436
4489,131701,57,349.742,132.842,121.199,105,,182.310813,1.0,-0.10897628339837873,0.046832782948061154,0.1186134052372832
4490,131703,57,353.073,132.687,121.095,106,,177.397448,1.0,-0.046532572800961014,-0.03122185529870886,0.05603645759476816
4491,131705,57,356.404,132.687,121.095,107,,177.397448,1.0,0.0,0.0,0.0
4492,131707,57,359.734,132.687,121.095,108,,177.397448,1.0,0.0,0.0,0.0
4493,131709,57,363.065,132.842,121.095,109,,180.341053,1.0,0.046532572800961014,0.0,0.046532572800961014
4494,131711,57,366.396,132.842,121.095,110,,180.341053,1.0,0.0,0.0,0.0
4495,131713,57,369.727,132.842,121.25,111,,183.28465800000004,1.0,0.0,0.046532572800961014,0.046532572800961014
4496,131715,57,373.058,132.584,121.25,112,,178.41155399999985,1.0,-0.07745421795256974,0.0,0.07745421795256974
4497,131717,57,376.389,132.17,121.354,113,,172.87212999999954,1.0,-0.12428700090063516,0.03122185529870886,0.12814859671946469
4498,131719,57,379.72,132.739,121.354,114,,183.32522899999984,1.0,0.17081957370159617,0.0,0.17081957370159617
4499,131721,57,383.051,132.635,121.354,115,,181.36628499999958,1.0,-0.031221855298713123,0.0,0.031221855298713123
4500,131723,57,386.381,132.635,121.147,116,,177.4028559999997,1.0,0.0,-0.06214350045031331,0.06214350045031331
4501,131725,57,389.712,132.221,121.043,117,,167.86025999999995,1.0,-0.12428700090062662,-0.03122185529870886,0.12814859671945641
4502,131727,57,393.043,131.807,121.043,118,,160.6193999999997,1.0,-0.12428700090063516,0.0,0.12428700090063516
4503,131729,57,396.374,131.393,120.888,119,,150.8418969999999,1.0,-0.12428700090062662,-0.046532572800961014,0.13271224104938134
4504,131731,57,399.705,130.928,121.095,120,,147.35900499999974,1.0,-0.13959771840288304,0.06214350045031331,0.15280490054808032
4505,131733,57,403.036,130.928,121.043,121,,146.38223699999986,1.0,0.0,-0.015610927649352296,0.015610927649352296
4506,131735,57,406.367,130.669,121.095,122,,143.45872399999993,1.0,-0.07775442809966561,0.015610927649352296,0.07930606629495238
4507,131737,57,409.698,130.1,120.94,123,,132.4657299999997,1.0,-0.17081957370159617,-0.046532572800961014,0.17704408233847235
4508,131739,57,413.028,129.634,120.474,124,,117.9004339999997,1.0,-0.13989792854998745,-0.13989792854998317,0.19784554790329142
4509,131741,57,416.359,129.272,120.267,125,,109.82410899999965,1.0,-0.10867607325127432,-0.06214350045031758,0.12518907119047956
4510,131743,57,419.69,128.909,119.957,126,,100.36799999999963,1.0,-0.10897628339837873,-0.09306514560192203,0.14330719336178036
4511,131745,57,423.021,128.185,119.646,127,,87.67201699999988,1.0,-0.21735214650254864,-0.09336535574902217,0.2365566427801317
4512,131747,57,426.352,127.926,119.439,128,,81.93629299999975,1.0,-0.07775442809966987,-0.06214350045031758,0.09953675571026692
4513,131749,57,429.683,127.667,119.284,129,,77.20885299999995,1.0,-0.07775442809966987,-0.04653257280095675,0.09061474173986853
4514,131751,57,433.014,127.667,119.077,130,,74.10240399999984,1.0,0.0,-0.06214350045031758,0.06214350045031758
4515,131753,57,436.345,127.771,118.973,131,,73.49961999999985,1.0,0.03122185529870886,-0.03122185529870886,0.04415437120588435
4516,131755,57,439.675,127.564,119.025,132,,72.44012899999989,1.0,-0.06214350045031758,0.015610927649356562,0.06407429835973287
4517,131757,57,443.006,127.46,118.766,133,,67.81840199999988,1.0,-0.03122185529870886,-0.07775442809966987,0.08378875424184469
4518,131759,57,446.337,127.253,118.715,134,,65.40569999999991,1.0,-0.06214350045031331,-0.015310717502252156,0.06400181808864387
4519,131761,57,449.668,127.098,118.611,135,,62.74159699999991,1.0,-0.046532572800961014,-0.03122185529870886,0.05603645759476816
4520,131763,57,452.999,127.098,118.456,136,,60.616081999999906,1.0,0.0,-0.046532572800961014,0.046532572800961014
4521,131765,57,456.33,126.943,118.301,137,,57.375651999999874,1.0,-0.046532572800961014,-0.046532572800961014,0.06580699554723246
4522,131767,57,459.661,126.581,118.094,138,,52.14723299999982,1.0,-0.10867607325127432,-0.06214350045031758,0.12518907119047956
4523,131769,57,462.992,126.581,118.094,139,,52.14723299999982,1.0,0.0,0.0,0.0
4524,131771,57,466.322,126.477,117.99,140,,50.14523299999984,1.0,-0.03122185529870886,-0.03122185529870886,0.04415437120588435
4525,131773,57,469.653,126.218,117.938,141,,47.89672199999993,1.0,-0.07775442809966987,-0.015610927649352296,0.07930606629495655
4526,131775,57,472.984,125.804,117.783,142,,43.70946099999991,1.0,-0.12428700090063088,-0.046532572800961014,0.13271224104938534
4527,131777,57,476.315,125.649,117.628,143,,41.0788009999999,1.0,-0.046532572800961014,-0.046532572800961014,0.06580699554723246
4528,131779,57,479.646,125.339,117.473,144,,37.878515999999884,1.0,-0.09306514560192203,-0.046532572800961014,0.10404999595090662
4529,131781,57,482.977,124.925,117.214,145,,33.40070499999988,1.0,-0.12428700090063088,-0.07775442809966987,0.1466049442617136
4530,131783,57,486.308,124.718,117.059,146,,31.065524999999894,1.0,-0.06214350045031331,-0.046532572800961014,0.07763436725893261
4531,131785,57,489.639,124.355,116.696,147,,26.369756999999908,1.0,-0.10897628339837873,-0.10897628339837873,0.15411573795900116
4532,131787,57,492.969,124.355,116.593,148,,25.346451999999967,1.0,0.0,-0.030921645151604452,0.030921645151604452
4533,131789,57,496.3,124.045,116.489,149,,23.75751999999997,1.0,-0.09306514560192203,-0.03122185529870886,0.09816275044129755
4534,131791,57,499.631,124.511,116.541,150,,25.201059999999877,1.0,0.13989792854998317,0.015610927649352296,0.1407662298800728
4535,131793,57,502.962,124.097,116.282,151,,21.891608999999885,1.0,-0.12428700090063088,-0.07775442809966987,0.1466049442617136
4536,131795,57,506.293,123.786,116.127,152,,20.069788999999894,1.0,-0.09336535574902217,-0.046532572800961014,0.10431859846459884
4537,131797,57,509.624,123.527,116.127,153,,19.869063999999895,1.0,-0.07775442809966987,0.0,0.07775442809966987
4538,131799,57,512.955,123.269,115.972,154,,18.447024999999893,1.0,-0.07745421795256546,-0.046532572800961014,0.09035726982440455
4539,131801,57,516.286,122.906,115.972,155,,18.578793999999892,1.0,-0.10897628339837873,0.0,0.10897628339837873
4540,131803,57,519.616,122.906,115.972,156,,18.578793999999892,1.0,0.0,0.0,0.0
4541,131805,57,522.947,123.372,116.075,157,,19.353012999999965,1.0,0.13989792854998317,0.03092164515160872,0.14327448674295853
