xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
155.657	43.6963	5.26312	143.919	22.4151	5.184	150.024	33.4783	5.2193	0.00227071	145.5	139.64	15.6141	3.66568	0.972052	14.6573	2.994	0.978915	28.6819	3.30818	0.993326	0	47
305.192	13.2269	0.809941	298.099	20.3115	1.28173	301.35	17.0511	0.822657	0.00331512	105.5	77.1543	5.46737	4.02304	0.67717	6.9706	5.55732	0.603647	11.6952	5.06073	0.901529	0	48
200.246	22.6974	4.42878	202.065	12.4663	4.5649	201.057	18.0857	4.52252	0.00365302	47	49.799	6.04712	2.16308	0.933835	5.48835	2.16048	0.919261	11.9967	2.03742	0.985473	0	49
142.307	1.75062	1.70644	142.332	7.14878	1.59871	142.324	4.81081	1.5809	0.005339	24	28.1421	2.56083	2.30889	0.432538	3.8736	2.13493	0.834407	6.23598	1.97484	0.948531	0	50
22.3937	5.17769	2.01322	16.1034	18.189	0.90616	19.4021	11.3608	1.11782	0.0236527	64	78.0833	6.8557	4.04826	0.807041	9.33437	1.83532	0.98048	16.2451	4.60391	0.959001	0	51
269.265	275.925	0.596748	262.471	280.248	0.605685	266.246	277.842	0.574141	1.46655e-05	41	37.4558	4.95757	2.27742	0.888239	4.29826	2.05838	0.877876	9.20474	2.03095	0.975355	1	0
76.4801	280.882	5.91557	72.705	271.995	5.21021	74.9417	277.262	5.16973	0.00638601	67.5	78.5269	5.98154	4.53842	0.651396	6.60108	3.33937	0.862603	11.1241	4.52454	0.913546	1	2
121.009	258.105	3.41861	125.991	257.877	3.24378	124.034	257.966	3.20473	0.000205019	17	22.8284	2.36276	1.83322	0.630881	3.64852	1.80434	0.869155	5.75174	1.57929	0.961566	1	3
91.2537	251.957	1.85337	92.6844	258.517	1.76877	92.1143	255.886	1.78633	0.00122353	20	31.3137	3.05379	1.76688	0.815622	4.87972	1.6797	0.938888	7.88131	1.49588	0.981823	1	4
239.219	229.313	2.04006	245.28	236.608	2.11868	242.594	233.383	2.23212	0.0008013	104.5	57.8406	4.75999	4.24322	0.45315	7.00024	3.73239	0.846001	11.172	3.93329	0.935975	1	6
