 ,Label,Area,X,Y,XM,YM
51,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.557,23.403,19.403,23.403,19.403
52,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.716,13.857,34.038,13.857,34.038
53,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.122,29.412,40.145,29.412,40.145
54,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.249,31.940,42.109,31.940,42.109
55,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.408,6.107,43.284,6.107,43.284
56,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.175,21.189,44.462,21.189,44.462
57,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.695,33.432,47.448,33.432,47.448
58,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,2.345,9.987,9.806,9.987,9.806
59,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,2.228,38.278,15.739,38.278,15.739
60,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,2.610,24.110,19.414,24.110,19.414
61,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,2.758,13.844,34.052,13.844,34.052
62,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,3.119,19.801,40.785,19.801,40.785
63,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,2.302,31.974,42.101,31.974,42.101
64,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,2.408,6.346,43.342,6.346,43.342
65,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,2.238,20.357,44.856,20.357,44.856
66,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,2.589,33.393,47.340,33.393,47.340
67,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,2.631,6.112,46.261,6.112,46.261
68,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,2.345,9.205,9.768,9.205,9.768
69,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,2.345,38.162,15.759,38.162,15.759
70,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,2.525,24.700,19.348,24.700,19.348
71,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,2.727,13.857,34.018,13.857,34.018
72,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,2.154,29.469,40.069,29.469,40.069
73,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,3.130,19.771,40.872,19.771,40.872
74,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,2.185,31.277,41.922,31.277,41.922
75,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,2.398,6.693,43.332,6.693,43.332
76,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,3.543,19.451,45.194,19.451,45.194
77,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,2.610,33.416,47.505,33.416,47.505
78,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:8/200 - Series 1,2.631,6.068,46.271,6.068,46.271
79,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,2.345,9.320,9.755,9.320,9.755
80,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,2.260,38.073,15.723,38.073,15.723
81,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,2.631,24.869,19.260,24.869,19.260
82,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,2.578,13.776,34.084,13.776,34.084
83,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,3.087,19.780,40.840,19.780,40.840
84,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,2.175,31.381,41.943,31.381,41.943
85,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,2.451,7.385,42.987,7.385,42.987
86,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,2.196,19.428,45.527,19.428,45.527
87,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,2.673,33.400,47.508,33.400,47.508
88,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:9/200 - Series 1,2.567,6.159,46.218,6.159,46.218
89,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,2.376,9.390,9.768,9.390,9.768
90,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,2.345,37.853,15.667,37.853,15.667
91,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,2.504,25.322,19.169,25.322,19.169
92,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,2.673,13.543,34.350,13.543,34.350
93,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,2.185,31.589,42.015,31.589,42.015
94,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,2.504,7.496,42.919,7.496,42.919
95,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,2.048,19.256,45.681,19.256,45.681
96,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,2.843,33.430,47.430,33.430,47.430
97,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:10/200 - Series 1,2.578,6.146,46.212,6.146,46.212
98,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,2.122,9.743,9.770,9.743,9.770
99,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,2.323,37.715,15.653,37.715,15.653
100,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,2.483,25.894,19.097,25.894,19.097
101,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,2.323,21.703,19.367,21.703,19.367
102,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,2.758,13.431,34.482,13.431,34.482
103,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,2.122,29.293,40.173,29.293,40.173
104,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,2.270,31.492,41.978,31.492,41.978
105,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,2.483,7.601,42.902,7.601,42.902
106,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,2.111,18.987,45.887,18.987,45.887
107,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,2.801,33.464,47.421,33.464,47.421
108,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:11/200 - Series 1,2.631,6.185,46.197,6.185,46.197
109,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:12/200 - Series 1,2.196,37.871,15.659,37.871,15.659
110,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:12/200 - Series 1,2.536,25.908,19.206,25.908,19.206
111,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:12/200 - Series 1,2.313,22.021,19.296,22.021,19.296
112,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:12/200 - Series 1,2.642,13.261,34.639,13.261,34.639
113,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:12/200 - Series 1,2.281,31.576,42.019,31.576,42.019
114,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:12/200 - Series 1,2.504,7.588,42.961,7.588,42.961
115,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:12/200 - Series 1,2.079,18.703,45.960,18.703,45.960
116,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:12/200 - Series 1,2.822,33.446,47.380,33.446,47.380
117,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:12/200 - Series 1,2.631,6.193,46.177,6.193,46.177
118,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:13/200 - Series 1,2.302,9.657,9.756,9.657,9.756
119,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:13/200 - Series 1,2.345,37.812,15.633,37.812,15.633
120,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:13/200 - Series 1,2.578,26.019,19.148,26.019,19.148
121,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:13/200 - Series 1,2.801,12.950,34.873,12.950,34.873
122,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:13/200 - Series 1,2.281,31.822,42.067,31.822,42.067
123,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:13/200 - Series 1,2.493,7.615,42.963,7.615,42.963
124,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:13/200 - Series 1,2.122,18.264,46.295,18.264,46.295
125,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:13/200 - Series 1,2.748,33.402,47.373,33.402,47.373
126,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:13/200 - Series 1,2.557,6.149,46.173,6.149,46.173
127,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:14/200 - Series 1,2.281,9.897,9.763,9.897,9.763
128,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:14/200 - Series 1,2.313,37.975,15.632,37.975,15.632
129,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:14/200 - Series 1,2.483,26.410,19.068,26.410,19.068
130,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:14/200 - Series 1,2.716,12.536,35.268,12.536,35.268
131,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:14/200 - Series 1,2.111,29.333,40.139,29.333,40.139
132,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:14/200 - Series 1,2.249,31.881,42.072,31.881,42.072
133,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:14/200 - Series 1,2.493,7.702,42.983,7.702,42.983
134,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:14/200 - Series 1,2.716,33.423,47.424,33.423,47.424
135,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:14/200 - Series 1,2.663,6.251,46.155,6.251,46.155
136,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:14/200 - Series 1,2.228,18.000,46.638,18.000,46.638
137,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:15/200 - Series 1,2.281,38.275,15.662,38.275,15.662
138,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:15/200 - Series 1,2.578,26.971,18.894,26.971,18.894
139,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:15/200 - Series 1,2.875,12.491,35.325,12.491,35.325
140,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:15/200 - Series 1,2.345,31.888,42.064,31.888,42.064
141,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:15/200 - Series 1,2.599,7.705,43.043,7.705,43.043
142,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:15/200 - Series 1,2.684,33.446,47.537,33.446,47.537
143,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:15/200 - Series 1,2.642,6.114,46.191,6.114,46.191
144,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:15/200 - Series 1,2.270,17.829,46.644,17.829,46.644
145,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:16/200 - Series 1,2.398,10.156,9.745,10.156,9.745
146,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:16/200 - Series 1,2.366,37.772,15.648,37.772,15.648
147,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:16/200 - Series 1,2.557,27.673,18.646,27.673,18.646
148,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:16/200 - Series 1,2.716,12.507,35.422,12.507,35.422
