 ,Label,Area,X,Y,XM,YM
50,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,2.514,5.847,43.519,5.847,43.519
51,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.305,22.368,43.080,22.368,43.080
52,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.623,24.842,43.872,24.842,43.872
53,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,2.652,33.429,47.475,33.429,47.475
54,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.241,7.553,46.099,7.553,46.099
55,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.262,5.015,46.797,5.015,46.797
56,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.050,23.176,47.863,23.176,47.863
57,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,2.228,10.278,9.816,10.278,9.816
58,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,2.716,6.652,10.728,6.652,10.728
59,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,2.260,38.603,15.714,38.603,15.714
60,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.040,20.956,18.926,20.956,18.926
61,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.591,27.192,19.058,27.192,19.058
62,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.273,15.724,19.567,15.724,19.567
63,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.114,18.390,19.258,18.390,19.258
64,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,2.472,22.324,19.556,22.324,19.556
65,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.220,19.098,20.574,19.098,20.574
66,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.581,17.143,28.682,17.143,28.682
67,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.273,16.432,30.863,16.432,30.863
68,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.793,36.944,31.109,36.944,31.109
69,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,2.620,13.890,34.060,13.890,34.060
70,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.326,13.130,33.668,13.130,33.668
71,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,2.101,29.313,40.134,29.313,40.134
72,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.538,19.936,39.998,19.936,39.998
73,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.029,48.397,42.624,48.397,42.624
74,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.517,19.259,42.496,19.259,42.496
75,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,2.323,31.829,42.068,31.829,42.068
76,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.273,23.954,42.469,23.954,42.469
77,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,2.536,5.909,43.486,5.909,43.486
78,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,2.048,23.717,43.443,23.717,43.443
79,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.262,21.511,43.441,21.511,43.441
80,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.666,24.398,44.009,24.398,44.009
81,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.040,48.001,45.614,48.001,45.614
82,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,2.663,33.465,47.447,33.465,47.447
83,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,2.514,6.207,46.437,6.207,46.437
84,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,1.114,23.215,47.791,23.215,47.791
85,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.345,10.200,9.835,10.200,9.835
86,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.294,5.483,10.177,5.483,10.177
87,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.379,8.027,11.448,8.027,11.448
88,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.185,38.698,15.719,38.698,15.719
89,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.040,21.174,18.964,21.174,18.964
90,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.750,27.684,19.007,27.684,19.007
91,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.493,22.927,19.470,22.927,19.470
92,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.262,15.856,19.628,15.856,19.628
