,spot ID,Track ID,x (micron),y (micron),t (sec),Frame,Classification,squared displacement,vx,vy,speed,diff time autocorrelation,distance to nearest AC
3288,39475,16,85.31851544,59.99551086,318.0840476,95,Before_Contact,1461.4846990368476,0.0206896581709134,-0.1034482938530724,0.1054969736833283,0.020761006100398376,61.807271345653646
3289,39478,16,85.49101547,59.71951081,321.4323008,96,Before_Contact,1486.4382992685782,0.0517241469265351,-0.082758635682159,0.0975929257438782,0.00963139458201946,61.54647585859087
3290,39481,16,85.49101547,59.58151078,324.7805539,97,Before_Contact,1495.1604547447987,0.0,-0.04137931934033,0.04137931934033,0.0034244960140620865,61.49680320393913
3291,39484,16,85.76701552,59.02951068,328.128807,98,Before_Contact,1542.7514279858306,0.0827586356821611,-0.165517271364318,0.1850539351104482,0.006848992028124173,61.0424657343184
3292,39487,16,85.83601554,58.89151066,331.4770602,99,Before_Contact,1554.7681963535313,0.0206896611694165,-0.041379316341829,0.0462634834423697,0.008561239662927565,60.92932875046282
3293,39490,16,85.90501555,58.68451062,334.8253133,100,Before_Contact,1571.3221994000016,0.0206896581709134,-0.0620689775112455,0.0654264466750316,0.0029964338727189455,60.79230046543144
3294,39493,16,85.90501555,58.68451062,338.1735664,101,Before_Contact,1571.3221994000016,0.0,0.0,0.0,0.0,60.79230046543144
3295,39496,16,85.90501555,58.68451062,341.5218195,102,Before_Contact,1571.3221994000016,0.0,0.0,0.0,0.0,60.79230046543144
3296,39499,16,86.04301557,58.65001062,344.8700727,103,Before_Contact,1579.8265380953612,0.0413793163418268,-0.0103448275862051,0.0426528226346779,0.0,60.65092852475119
3297,39502,16,86.11201559,58.20151053,348.2183258,104,Before_Contact,1612.4144055662027,0.0206896611694165,-0.1344827856071973,0.1360649907359592,0.0022473252649535366,60.43120150047263
3298,39505,16,86.45701565,57.71851045,351.5665789,105,Before_Contact,1660.4291073456247,0.1034482938530746,-0.1448276101949036,0.1779791734329582,0.021617130600218307,59.94259283989978
3299,39508,16,86.7675157,57.20101035,354.9148321,106,Before_Contact,1709.8768713863665,0.0931034632683663,-0.1551724437781108,0.1809606094724346,0.03210464862741172,59.477007597236714
3300,39514,16,87.3195158,56.68351026,358.2630852,107,Before_Contact,1771.5925462280984,0.165517271364318,-0.1551724407796098,0.226879821706098,0.039488718037534225,58.78558049408422
3301,39517,16,87.73351588,56.16601017,361.6113383,108,Before_Contact,1827.6926197744497,0.1241379550224869,-0.1551724407796098,0.1987176848060244,0.044625461965569976,58.22648373426028
3302,39520,16,88.14751595,55.71751008,364.9595915,109,Before_Contact,1879.7625057540615,0.124137952023988,-0.1344827856071973,0.1830187169591716,0.03627825359044724,57.69132669119637
3303,39523,16,88.32001599,55.16550998,368.3078446,110,Before_Contact,1927.897423881273,0.0517241499250383,-0.1655172713643159,0.1734109420000838,0.028680153761051562,57.35531630648859
3304,39526,16,88.14751595,54.92400994,371.6560977,111,Before_Contact,1936.7862133963235,-0.0517241499250383,-0.0724138050974528,0.0889895884593233,0.009310347743369937,57.445775704279114
3305,39529,16,88.423516,53.99250977,375.0043509,112,Before_Contact,2019.1217870633463,0.0827586356821611,-0.2793103958020988,0.2913130429333671,0.015945308483689854,56.90600980345188
3306,39532,16,88.59601604,53.13000962,378.352604,113,Before_Contact,2092.833996233228,0.051724149925034,-0.2586207346326822,0.2637424350904034,0.0765160798324994,56.4963519520214
3307,39535,16,88.76851607,52.19850945,381.7008571,114,Before_Contact,2173.478223974051,0.0517241469265394,-0.2793103958020988,0.2840592976447054,0.07491084728325685,56.07937780285841
3308,39538,16,88.28551598,50.2665091,385.0491103,115,Before_Contact,2303.7535140334357,-0.1448276131934046,-0.5793104497751133,0.5971395437935277,0.1543163462751431,56.07469179240827
3309,39541,16,88.25101597,49.78350901,388.3973634,116,Before_Contact,2341.8570011048264,-0.0103448305847082,-0.1448276131934025,0.145196601417265,0.08539836686139955,56.00041541232679
3310,39544,16,88.28551598,49.43850895,391.7456165,117,Before_Contact,2372.3119388651576,0.0103448305847082,-0.1034482938530746,0.1039642487634013,0.014875153967844211,55.89208563798837
3311,39547,16,88.14751595,49.30050892,395.0938697,118,Before_Contact,2376.996764733678,-0.04137931934033,-0.04137931934033,0.058519194612862,0.0038525579382724167,55.99768313654026
3312,39550,16,88.18201596,48.99000887,398.4421228,119,Before_Contact,2404.860526986829,0.0103448305847082,-0.0931034632683663,0.0936764132126671,0.00342449588998616,55.899343131015904
3313,39553,16,88.18201596,47.85150866,401.7903759,120,Before_Contact,2502.388457384302,0.0,-0.3413793733133423,0.3413793733133423,0.03178360194385667,55.67659878429133
3314,39556,16,88.00951593,46.98900851,405.1386291,121,Before_Contact,2569.447166187235,-0.0517241469265351,-0.2586207346326844,0.2637424345023515,0.088287784314742,55.69277531412954
3315,39559,16,88.21651597,46.50600842,408.4868822,122,Before_Contact,2622.708492822566,0.0620689775112434,-0.1448276131934025,0.1575677489608488,0.034244958806804664,55.408308596912406
3316,39562,16,88.28551598,46.50600842,411.8351353,123,Before_Contact,2626.150696944506,0.0206896581709134,0.0,0.0206896581709134,0.0012841859277257371,55.340226044735914
3317,39565,16,87.97501592,46.26450837,415.1833885,124,Before_Contact,2632.4066535885863,-0.0931034662668651,-0.0724138080959517,0.1179492053125523,-0.0019262788915886057,55.608067008356386
3318,39568,16,87.3195158,46.02300833,418.5316416,125,Before_Contact,2622.284763533456,-0.1965517601199398,-0.0724138050974507,0.2094668316821017,0.023543409553844222,56.21838671775756
3319,39571,16,87.21601579,45.26400819,421.8798947,126,Before_Contact,2686.5594777161086,-0.0310344857571228,-0.2275862488755636,0.2296924900458416,0.02258026906891466,56.21092297697145
3320,39574,16,87.2850158,44.81550811,425.2281479,127,Before_Contact,2731.316464445129,0.0206896581709134,-0.1344827826086942,0.1360649873163796,0.029964339130435644,56.08236770789913
3321,39577,16,87.2850158,44.57400807,428.576401,128,Before_Contact,2753.8038654914403,0.0,-0.0724138050974528,0.0724138050974528,0.009738410008789096,56.05140316701658
3322,39580,16,87.3195158,44.29800802,431.9246541,129,Before_Contact,2781.3022209007518,0.0103448275862094,-0.082758635682159,0.0834026812384393,0.005992867714418965,55.98302374111097
3323,39583,16,88.18201596,42.33150766,435.2729073,130,Before_Contact,3012.006082000719,0.2586207376311832,-0.5896552803598194,0.6438773451435564,0.05147445346637251,54.91939208448628
3324,39586,16,88.9410161,41.67600754,438.6211604,131,Before_Contact,3114.9068027729218,0.2275862488755615,-0.1965517601199398,0.3007126453667943,0.17475630677765083,54.10890804440908
