#Track ID	T (sec)	x (micron)	y (micron)
5	1007.377	77.677	107.795
5	1010.712	77.832	107.795
5	1014.048	78.143	107.588
5	1017.384	78.608	107.226
5	1020.719	79.333	106.812
5	1024.055	79.799	106.553
5	1027.391	80.420	106.191
5	1030.726	80.885	105.570
5	1034.062	81.248	104.897
5	1037.398	81.351	104.535
5	1040.733	81.817	104.225
5	1044.069	82.024	103.345
5	1047.405	82.421	102.603
5	1050.741	82.697	101.568
5	1054.076	82.766	100.775
5	1057.412	82.731	99.843
5	1060.748	82.835	99.153
5	1064.083	82.766	98.325
5	1067.419	82.524	98.015
5	1070.755	82.628	97.463
5	1074.090	82.628	96.911
5	1077.426	82.628	96.393
5	1080.762	82.490	95.807
5	1084.097	82.455	95.186
5	1087.433	82.179	94.323
5	1090.769	81.558	93.426
5	1094.104	81.179	92.909
5	1097.440	81.006	92.219
5	1100.776	80.351	91.701
5	1104.111	80.282	90.873
5	1107.447	80.075	90.942
5	1110.783	79.868	90.804
5	1114.119	79.074	90.252
5	1117.454	78.798	89.942
5	1120.790	78.522	89.493
5	1124.126	78.246	88.872
5	1127.461	78.039	88.424
5	1130.797	78.039	88.424
5	1134.133	77.867	87.941
5	1137.468	78.212	87.975
5	1140.804	77.798	87.975
5	1144.140	77.522	87.458
5	1147.475	77.522	87.458
5	1150.811	77.039	86.630
5	1154.147	76.866	86.216
5	1157.482	76.797	85.802
5	1160.818	76.970	85.733
5	1164.154	76.901	85.457
5	1167.489	76.659	85.353
5	1170.825	76.866	85.491
5	1174.161	76.452	85.181
5	1177.497	76.280	85.112
5	1180.832	76.521	85.284
5	1184.168	76.314	85.146
5	1187.504	76.314	85.181
5	1190.839	77.004	85.629
5	1194.175	77.073	85.457
5	1197.511	76.832	85.353
5	1200.846	76.659	84.767
5	1204.182	76.004	83.835
5	1207.518	76.314	84.008
5	1210.853	76.038	83.594
5	1214.189	76.935	83.870
5	1217.525	76.935	83.870
5	1220.860	77.280	83.939
5	1224.196	77.039	83.870
5	1227.532	76.797	83.732
5	1230.867	76.590	83.663
5	1234.203	76.728	83.697
5	1237.539	76.728	83.283
5	1240.875	76.073	83.145
5	1244.210	75.107	82.662
5	1247.546	74.313	82.352
5	1250.882	73.658	81.800
5	1254.217	72.899	81.455
5	1257.553	72.623	81.179
5	1260.889	71.070	80.765
5	1264.224	71.070	80.765
5	1267.560	70.242	81.041
5	1270.896	69.759	81.041
26	0.000	30.119	117.938
26	3.336	30.119	117.887
26	6.671	30.119	117.783
26	10.007	30.119	117.783
26	13.343	30.119	117.783
26	16.678	29.860	117.938
26	20.014	30.119	117.887
26	23.350	29.912	117.731
26	26.685	29.912	117.628
26	30.021	29.912	117.680
26	33.357	29.705	117.680
26	36.693	29.342	117.680
26	40.028	29.342	117.266
26	43.364	29.342	117.266
26	46.700	29.342	117.266
26	50.035	29.394	117.369
26	53.371	29.084	117.524
26	56.707	28.928	117.214
26	60.042	28.928	117.214
26	63.378	28.928	117.214
26	66.714	28.928	117.214
26	70.049	28.928	117.214
26	73.385	29.135	117.162
26	76.721	29.239	117.162
26	80.056	28.980	116.955
26	83.392	28.980	116.955
26	86.728	28.980	116.955
26	90.063	28.980	116.955
26	93.399	29.135	117.110
26	96.735	29.291	117.162
26	100.071	29.291	117.162
26	103.406	29.291	117.162
26	106.742	29.291	117.162
26	110.078	29.291	117.110
26	113.413	29.291	117.110
26	116.749	29.291	117.266
26	120.085	29.291	117.266
26	123.420	29.239	117.317
26	126.756	28.877	116.748
26	130.092	28.877	116.955
26	133.427	29.032	116.955
26	136.763	29.032	116.955
26	140.099	29.239	117.473
26	143.434	29.601	117.628
26	146.770	29.808	118.249
26	150.106	30.429	119.284
26	153.441	30.533	119.491
26	156.777	30.584	119.905
26	160.113	30.947	120.733
26	163.449	31.102	120.785
26	166.784	31.309	121.199
26	170.120	31.412	121.199
26	173.456	31.775	121.768
26	176.791	31.982	122.492
26	180.127	31.775	122.182
26	183.463	31.982	121.716
26	186.798	31.568	121.716
26	190.134	31.568	121.664
26	193.470	31.050	120.629
26	196.805	30.998	120.267
26	200.141	30.998	120.267
26	203.477	31.050	120.008
26	206.812	31.102	119.439
26	210.148	31.361	118.870
26	213.484	31.464	118.663
26	216.819	31.464	118.559
26	220.155	31.775	118.922
26	223.491	31.671	119.232
26	226.827	31.671	119.232
26	230.162	31.412	118.973
26	233.498	30.947	118.456
26	236.834	30.636	118.094
26	240.169	30.895	118.145
26	243.505	30.584	117.110
26	246.841	30.481	116.852
26	250.176	30.481	116.593
26	253.512	30.584	117.162
26	256.848	30.429	116.852
26	260.183	30.274	116.334
26	263.519	30.274	116.334
26	266.855	30.274	116.334
26	270.190	30.222	116.438
26	273.526	30.067	116.127
26	276.862	29.860	115.868
26	280.197	29.705	115.868
26	283.533	29.653	115.506
26	286.869	29.653	114.833
26	290.205	29.342	114.523
26	293.540	29.187	114.316
26	296.876	28.877	114.161
26	300.212	28.928	114.057
26	303.547	28.980	114.005
26	306.883	29.032	113.902
26	310.219	28.877	113.954
26	313.554	28.980	113.695
26	316.890	28.773	113.850
26	320.226	28.773	113.850
26	323.561	28.773	113.850
26	326.897	28.773	113.850
26	330.233	28.721	113.798
26	333.568	28.307	113.540
26	336.904	28.152	112.815
26	340.240	28.618	112.298
26	343.575	28.566	112.298
26	346.911	28.566	111.418
26	350.247	28.773	110.435
26	353.583	28.514	110.176
26	356.918	28.514	110.900
26	360.254	28.618	111.625
26	363.590	28.825	111.056
26	366.925	28.825	111.056
26	370.261	28.877	110.642
26	373.597	29.394	110.797
26	376.932	29.394	110.538
26	380.268	29.394	110.538
26	383.604	29.446	110.538
26	386.939	29.498	110.486
26	390.275	29.498	110.486
26	393.611	29.549	110.642
26	396.946	29.549	110.486
26	400.282	29.549	110.745
26	403.618	29.549	111.004
26	406.953	29.549	111.004
26	410.289	29.653	111.056
26	413.625	29.653	111.056
26	416.961	29.653	111.056
26	420.296	29.653	111.056
26	423.632	29.446	110.590
26	426.968	29.446	110.590
26	430.303	29.446	110.590
26	433.639	29.446	110.590
26	436.975	29.446	110.538
26	440.310	30.015	110.900
26	443.646	30.015	110.797
26	446.982	30.015	110.693
26	450.317	30.170	110.745
26	453.653	30.274	110.486
26	456.989	30.274	110.486
26	460.324	30.377	110.486
26	463.660	30.170	110.279
26	466.996	30.429	110.435
26	470.331	30.429	110.383
26	473.667	30.429	110.538
26	477.003	30.429	110.538
26	480.339	30.429	110.538
26	483.674	30.429	110.279
26	487.010	30.429	110.279
26	490.346	30.429	110.538
26	493.681	30.429	110.486
26	497.017	30.429	110.279
26	500.353	30.429	110.228
26	503.688	30.533	110.331
26	507.024	30.636	109.969
26	510.360	30.636	109.503
26	513.695	30.636	108.882
26	517.031	30.740	108.623
26	520.367	30.998	108.158
26	523.702	31.102	107.537
26	527.038	31.516	107.071
26	530.374	31.671	106.553
26	533.709	31.826	106.346
26	537.045	31.775	106.398
26	540.381	31.619	106.605
26	543.717	31.619	106.605
26	547.052	32.292	105.363
26	550.388	32.706	104.587
26	553.724	33.327	103.862
26	557.059	33.586	103.604
26	560.395	33.845	103.190
26	563.731	34.000	102.776
26	567.066	34.000	102.724
26	570.402	34.259	102.310
26	573.738	34.310	102.310
26	577.073	34.414	102.155
26	580.409	34.828	101.741
26	583.745	34.414	101.896
26	587.080	34.983	101.171
26	590.416	34.983	100.809
26	593.752	34.983	101.016
26	597.087	34.983	101.534
26	600.423	35.035	101.585
26	603.759	35.087	101.689
26	607.095	35.294	101.378
26	610.430	35.138	101.430
26	613.766	35.604	101.016
26	617.102	35.863	100.964
26	620.437	35.966	100.861
26	623.773	36.432	100.395
26	627.109	37.157	99.515
26	630.444	37.312	99.257
26	633.780	37.260	98.946
26	637.116	37.364	98.791
26	640.451	37.364	98.739
26	643.787	37.364	98.739
26	647.123	37.260	98.843
26	650.458	37.260	98.791
26	653.794	38.036	97.704
26	657.130	38.295	97.497
26	660.465	38.295	97.497
26	663.801	37.622	97.445
26	667.137	37.829	96.100
26	670.473	38.088	95.789
26	673.808	38.054	95.807
26	677.144	38.261	95.876
26	680.480	38.399	95.462
26	683.815	38.399	95.255
26	687.151	38.399	94.634
26	690.487	38.882	94.151
26	693.822	38.813	94.151
26	697.158	38.675	94.151
26	700.494	39.227	94.151
26	703.829	39.020	93.668
26	707.165	39.227	93.323
26	710.501	39.296	93.116
26	713.836	39.261	92.943
26	717.172	39.503	93.254
26	720.508	39.917	93.254
26	723.843	40.124	93.668
26	727.179	39.917	93.530
26	730.515	39.917	93.530
26	733.851	39.848	93.392
26	737.186	39.779	93.737
26	740.522	39.779	93.461
26	743.858	39.779	93.461
26	747.193	39.779	93.461
26	750.529	39.641	93.323
26	753.865	39.641	93.323
26	757.200	39.848	93.254
26	760.536	39.848	93.254
26	763.872	39.572	93.254
26	767.207	39.089	92.288
26	770.543	38.882	91.598
26	773.879	38.537	91.391
26	777.214	38.399	91.253
26	780.550	38.468	90.839
26	783.886	38.192	90.356
26	787.221	38.054	89.528
26	790.557	37.985	89.459
26	793.893	37.916	88.769
26	797.229	37.778	88.286
26	800.564	37.778	88.010
26	803.900	37.847	88.148
26	807.236	38.123	88.217
