,Spot ID,Track_ID,X (micron),Y (micron),T (sec),Frame,is main track,which main track id,frame range
224,4734,1,27.74,137.86,79.94,24,False,,
225,4736,1,27.01,137.41,83.27,25,False,,
226,4738,1,26.67,137.28,86.6,26,False,,
227,4740,1,25.98,137.14,89.93,27,False,,
228,4742,1,25.36,136.86,93.26,28,False,,
229,4744,1,25.36,136.86,96.6,29,False,,
230,4746,1,25.01,136.59,99.93,30,False,,
231,4748,1,24.12,136.03,103.26,31,False,,
232,4750,1,23.01,135.34,106.59,32,False,,
233,4752,1,21.84,134.52,109.92,33,False,,
234,4754,1,21.7,133.89,113.25,34,False,,
235,4756,1,21.08,133.89,116.58,35,False,,
236,4758,1,21.08,133.76,119.91,36,False,,
237,4760,1,20.73,133.41,123.24,37,False,,
238,4762,1,20.32,133.14,126.57,38,False,,
239,4764,1,20.32,133.14,129.9,39,False,,
240,4766,1,20.04,132.79,133.23,40,False,,
241,4768,1,20.04,132.79,136.57,41,False,,
242,4770,1,19.63,132.17,139.9,42,False,,
243,4772,1,19.63,132.17,143.23,43,False,,
244,4774,1,19.15,131.69,146.56,44,False,,
245,4776,1,18.87,131.48,149.89,45,False,,
246,4778,1,18.32,130.93,153.22,46,False,,
247,4780,1,17.84,130.65,156.55,47,False,,
248,4782,1,17.7,130.72,159.88,48,False,,
249,4784,1,17.22,130.03,163.21,49,False,,
250,4786,1,17.22,130.03,166.54,50,False,,
251,4788,1,16.94,129.34,169.87,51,False,,
252,4790,1,16.59,129.13,173.21,52,False,,
253,4792,1,16.32,128.65,176.54,53,False,,
254,4794,1,16.11,128.03,179.87,54,False,,
255,4796,1,16.11,128.03,183.2,55,False,,
256,4798,1,15.84,127.41,186.53,56,False,,
257,4800,1,15.7,126.72,189.86,57,False,,
258,4802,1,15.49,126.3,193.19,58,False,,
259,4804,1,15.49,126.3,196.52,59,False,,
260,4806,1,15.01,125.27,199.85,60,False,,
261,4808,1,15.01,125.06,203.18,61,False,,
262,4810,1,15.01,125.06,206.51,62,False,,
263,4812,1,15.01,125.06,209.85,63,False,,
264,4814,1,15.01,125.06,213.18,64,False,,
265,4816,1,15.01,125.06,216.51,65,False,,
266,4818,1,15.01,125.06,219.84,66,False,,
267,4820,1,14.94,124.92,223.17,67,False,,
268,4822,1,14.87,124.72,226.5,68,False,,
269,4824,1,14.59,123.96,229.83,69,False,,
270,4828,1,14.59,123.96,233.16,70,False,,
271,4830,1,14.59,123.96,236.49,71,False,,
272,4832,1,14.59,123.96,239.82,72,False,,
273,4834,1,14.59,123.96,243.15,73,False,,
274,4836,1,14.59,123.96,246.48,74,False,,
275,4838,1,14.59,123.54,249.82,75,False,,
276,4840,1,14.59,123.54,253.15,76,False,,
277,4842,1,14.59,123.54,256.48,77,False,,
278,4844,1,14.46,123.13,259.81,78,False,,
279,4846,1,14.46,123.13,263.14,79,False,,
280,4848,1,14.32,122.51,266.47,80,False,,
281,4850,1,14.32,122.51,269.8,81,False,,
282,4852,1,14.32,122.51,273.13,82,False,,
283,4854,1,14.32,122.51,276.46,83,False,,
284,4856,1,14.32,122.44,279.79,84,False,,
285,4858,1,14.32,122.44,283.12,85,False,,
286,4860,1,14.11,121.61,286.46,86,False,,
287,4862,1,14.11,121.61,289.79,87,False,,
288,4864,1,13.83,121.27,293.12,88,False,,
289,4866,1,13.7,120.72,296.45,89,False,,
290,4868,1,13.7,120.85,299.78,90,False,,
291,4870,1,13.7,120.85,303.11,91,False,,
292,4872,1,13.9,121.68,306.44,92,False,,
293,4874,1,13.7,120.92,309.77,93,False,,
294,4876,1,13.7,120.92,313.1,94,False,,
295,4878,1,13.97,121.89,316.43,95,False,,
296,4880,1,14.04,122.44,319.76,96,False,,
297,4882,1,13.97,121.68,323.09,97,False,,
298,4884,1,13.97,122.23,326.43,98,False,,
299,4886,1,13.97,121.89,329.76,99,False,,
300,4888,1,13.83,121.61,333.09,100,False,,
301,4890,1,13.83,120.99,336.42,101,False,,
302,4892,1,13.83,120.85,339.75,102,False,,
303,4894,1,13.63,121.47,343.08,103,False,,
304,4896,1,13.77,121.13,346.41,104,False,,
305,4898,1,13.77,121.13,349.74,105,False,,
306,4900,1,13.77,120.72,353.07,106,False,,
307,4902,1,13.56,120.51,356.4,107,False,,
308,4904,1,13.56,120.51,359.73,108,False,,
309,4906,1,13.7,120.03,363.07,109,False,,
