Spot ID,Track_ID,X (micron),Y (micron),T (sec),Frame
4866,1,13.7,120.72,296.45,89
4868,1,13.7,120.85,299.78,90
4870,1,13.7,120.85,303.11,91
4872,1,13.9,121.68,306.44,92
4874,1,13.7,120.92,309.77,93
4876,1,13.7,120.92,313.1,94
4878,1,13.97,121.89,316.43,95
4880,1,14.04,122.44,319.76,96
4882,1,13.97,121.68,323.09,97
4884,1,13.97,122.23,326.43,98
4886,1,13.97,121.89,329.76,99
4888,1,13.83,121.61,333.09,100
4890,1,13.83,120.99,336.42,101
4892,1,13.83,120.85,339.75,102
4894,1,13.63,121.47,343.08,103
4896,1,13.77,121.13,346.41,104
4898,1,13.77,121.13,349.74,105
4900,1,13.77,120.72,353.07,106
4902,1,13.56,120.51,356.4,107
4904,1,13.56,120.51,359.73,108
4906,1,13.7,120.03,363.07,109
4908,1,13.7,120.03,366.4,110
4910,1,13.42,119.82,369.73,111
4912,1,13.35,119.89,373.06,112
4914,1,13.35,119.89,376.39,113
4916,1,13.63,119.61,379.72,114
4918,1,13.63,119.61,383.05,115
4920,1,13.63,119.61,386.38,116
4922,1,13.63,119.61,389.71,117
4924,1,13.63,119.96,393.04,118
4926,1,13.63,119.96,396.37,119
4928,1,13.63,119.96,399.7,120
4930,1,13.63,119.96,403.04,121
4932,1,13.63,119.96,406.37,122
4934,1,13.63,119.96,409.7,123
4938,1,13.63,119.96,413.03,124
4940,1,13.56,119.89,416.36,125
4942,1,13.56,119.89,419.69,126
4944,1,13.42,119.54,423.02,127
4946,1,13.42,119.54,426.35,128
4948,1,13.42,119.54,429.68,129
4950,1,13.42,119.54,433.01,130
4955,1,13.63,119.89,436.34,131
4957,1,13.63,119.89,439.68,132
4959,1,13.63,119.89,443.01,133
4961,1,13.63,119.89,446.34,134
4963,1,13.63,119.89,449.67,135
4965,1,13.63,119.89,453,136
4967,1,13.63,119.89,456.33,137
4969,1,13.63,119.89,459.66,138
4971,1,13.63,119.89,462.99,139
4973,1,13.77,120.09,466.32,140
4975,1,13.63,119.68,469.65,141
4977,1,13.63,119.96,472.98,142
4979,1,13.63,119.96,476.32,143
4981,1,13.63,119.96,479.65,144
4983,1,13.63,119.96,482.98,145
4985,1,13.63,119.96,486.31,146
4987,1,13.63,119.96,489.64,147
4989,1,13.63,119.61,492.97,148
4991,1,13.63,119.61,496.3,149
4993,1,13.7,119.82,499.63,150
4995,1,13.7,119.82,502.96,151
4997,1,13.7,119.82,506.29,152
4999,1,13.42,119.75,509.62,153
5001,1,13.56,119.54,512.95,154
5003,1,13.56,119.54,516.29,155
5005,1,13.56,119.54,519.62,156
5007,1,13.56,119.54,522.95,157
5009,1,13.56,119.89,526.28,158
5011,1,13.56,119.89,529.61,159
5013,1,13.56,119.89,532.94,160
5015,1,13.56,119.89,536.27,161
5017,1,13.56,119.89,539.6,162
5019,1,13.56,119.89,542.93,163
5021,1,13.56,119.89,546.26,164
5023,1,13.56,119.89,549.59,165
5025,1,13.56,119.89,552.93,166
5027,1,13.56,119.89,556.26,167
5029,1,13.56,119.89,559.59,168
5031,1,13.56,119.89,562.92,169
5033,1,13.56,119.89,566.25,170
5035,1,13.56,119.89,569.58,171
5037,1,13.56,119.89,572.91,172
5039,1,13.56,119.89,576.24,173
5041,1,13.63,120.3,579.57,174
5043,1,13.7,121.06,582.9,175
5045,1,13.7,120.78,586.23,176
5047,1,13.7,120.78,589.56,177
5049,1,13.7,120.78,592.9,178
5051,1,13.7,120.78,596.23,179
5053,1,13.7,120.78,599.56,180
5055,1,13.9,121.34,602.89,181
5057,1,13.9,121.82,606.22,182
5059,1,13.9,121.82,609.55,183
5061,1,13.63,120.99,612.88,184
5063,1,13.7,120.72,616.21,185
5065,1,13.7,120.51,619.54,186
5067,1,13.63,120.37,622.87,187
5069,1,13.56,120.03,626.2,188
5071,1,13.56,120.03,629.54,189
5073,1,13.56,120.03,632.87,190
5075,1,13.56,120.03,636.2,191
5077,1,13.56,120.03,639.53,192
5079,1,13.56,120.03,642.86,193
5081,1,13.49,119.68,646.19,194
5083,1,13.63,119.75,649.52,195
5085,1,13.63,120.16,652.85,196
5087,1,13.56,119.96,656.18,197
5089,1,13.56,119.96,659.51,198
5091,1,13.56,119.96,662.84,199
5094,2,143.78,43.83,0,0
5096,2,143.66,43.47,3.33,1
5098,2,143.35,42.85,6.66,2
5100,2,142.31,42.12,9.99,3
5102,2,141.8,41.71,13.32,4
5104,2,141.8,41.71,16.65,5
5106,2,140.76,41.5,19.99,6
5108,2,140.76,41.5,23.32,7
5110,2,140.45,41.4,26.65,8
5112,2,140.14,41.09,29.98,9
5114,2,139.52,40.88,33.31,10
5116,2,139.52,40.88,36.64,11
5118,2,139.52,40.88,39.97,12
5120,2,139.41,40.88,43.3,13
5122,2,140.76,40.78,46.63,14
5124,2,139.93,40.88,49.96,15
5126,2,139.93,40.88,53.29,16
5128,2,138.9,40.68,56.62,17
5130,2,138.48,40.37,59.96,18
5132,2,138.07,40.26,63.29,19
5134,2,137.55,40.26,66.62,20
5136,2,136.59,40.12,69.95,21
5138,2,135.96,40.19,73.28,22
5140,2,135,40.19,76.61,23
5142,2,135.48,40.19,79.94,24
5144,2,134.31,39.99,83.27,25
5146,2,133.48,39.99,86.6,26
5148,2,132.86,39.85,89.93,27
5150,2,132.86,39.85,93.26,28
5152,2,132.86,39.85,96.6,29
5154,2,132.86,39.85,99.93,30
5156,2,132.86,39.85,103.26,31
5158,2,132.86,39.85,106.59,32
5160,2,133.2,39.92,109.92,33
5162,2,133.34,40.05,113.25,34
5164,2,132.93,40.05,116.58,35
5166,2,132.58,39.85,119.91,36
5168,2,133.27,39.92,123.24,37
5170,2,133.14,39.5,126.57,38
5172,2,132.72,39.92,129.9,39
5174,2,132.31,40.12,133.23,40
5176,2,131.55,40.47,136.57,41
5178,2,131.41,40.95,139.9,42
5180,2,131.89,40.74,143.23,43
5182,2,131.27,40.68,146.56,44
5184,2,131.27,40.68,149.89,45
5186,2,130.93,40.81,153.22,46
5188,2,130.31,40.88,156.55,47
5190,2,129.82,40.61,159.88,48
5192,2,129.48,40.81,163.21,49
5194,2,129.41,40.74,166.54,50
5196,2,129.48,40.74,169.87,51
5198,2,129.55,40.54,173.21,52
5200,2,129.06,41.23,176.54,53
5205,2,129.34,41.02,179.87,54
5208,2,129.34,41.16,183.2,55
5210,2,129.34,41.16,186.53,56
5212,2,129.34,41.16,189.86,57
5214,2,129.13,41.43,193.19,58
5216,2,128.93,41.64,196.52,59
5218,2,128.72,41.78,199.85,60
5220,2,128.65,42.19,203.18,61
5222,2,128.65,42.19,206.51,62
5224,2,128.37,42.61,209.85,63
5226,2,128.37,42.4,213.18,64
5228,2,128.75,42.07,216.51,65
5230,2,128.75,42.07,219.84,66
5232,2,128.6,42.12,223.17,67
5234,2,128.6,42.02,226.5,68
5236,2,128.6,42.12,229.83,69
5238,2,128.81,42.07,233.16,70
5240,2,128.81,42.07,236.49,71
5242,2,128.81,42.07,239.82,72
5244,2,128.81,42.07,243.15,73
5246,2,128.75,42.02,246.48,74
5248,2,128.75,42.02,249.82,75
5250,2,128.7,41.76,253.15,76
5252,2,128.75,41.87,256.48,77
5254,2,128.75,41.97,259.81,78
5256,2,128.65,42.23,263.14,79
5258,2,128.5,42.02,266.47,80
5260,2,128.75,41.76,269.8,81
5262,2,128.75,41.76,273.13,82
5264,2,128.91,41.76,276.46,83
5266,2,128.65,41.97,279.79,84
5268,2,128.34,42.07,283.12,85
5270,2,128.44,42.12,286.46,86
5272,2,128.34,42.54,289.79,87
5274,2,128.34,42.54,293.12,88
5276,2,128.34,42.54,296.45,89
5278,2,128.34,42.54,299.78,90
5280,2,128.34,42.54,303.11,91
5282,2,128.34,42.54,306.44,92
5284,2,128.34,42.54,309.77,93
5286,2,128.7,42.12,313.1,94
5288,2,128.7,42.12,316.43,95
5290,2,129.27,41.71,319.76,96
5292,2,128.75,42.07,323.09,97
5294,2,128.75,42.07,326.43,98
5296,2,128.65,41.66,329.76,99
5298,2,128.91,41.66,333.09,100
5300,2,128.65,42.07,336.42,101
5302,2,128.65,42.18,339.75,102
5304,2,127.82,42.8,343.08,103
5306,2,127.82,42.8,346.41,104
5308,2,127.82,42.8,349.74,105
5310,2,127.67,43.21,353.07,106
5312,2,127.51,43.68,356.4,107
5314,2,127.51,44.04,359.73,108
5316,2,127.51,44.04,363.07,109
5318,2,127.36,44.3,366.4,110
5320,2,126.37,46.01,369.73,111
5322,2,126.22,46.26,373.06,112
5324,2,125.86,46.99,376.39,113
5326,2,125.86,46.99,379.72,114
5328,2,125.86,46.99,383.05,115
5330,2,125.55,47.14,386.38,116
5332,2,125.55,47.14,389.71,117
5334,2,125.34,46.94,393.04,118
5336,2,125.44,46.78,396.37,119
5338,2,125.49,46.89,399.7,120
5340,2,125.8,47.04,403.04,121
5342,2,125.8,47.04,406.37,122
5344,2,125.8,47.35,409.7,123
5346,2,125.75,47.14,413.03,124
5348,2,125.65,47.51,416.36,125
5350,2,125.65,47.51,419.69,126
5352,2,125.49,48.02,423.02,127
5354,2,125.49,48.39,426.35,128
5356,2,125.49,48.39,429.68,129
5358,2,125.49,48.18,433.01,130
5360,2,125.49,48.18,436.34,131
5362,2,125.49,48.18,439.68,132
5364,2,125.49,48.18,443.01,133
5366,2,125.49,48.18,446.34,134
5368,2,125.49,47.4,449.67,135
5370,2,125.49,47.4,453,136
5372,2,125.49,47.56,456.33,137
5374,2,125.39,47.51,459.66,138
5376,2,125.6,47.66,462.99,139
5378,2,125.49,47.25,466.32,140
5380,2,125.49,47.25,469.65,141
5382,2,125.49,47.25,472.98,142
5384,2,125.49,47.56,476.32,143
5386,2,125.49,47.77,479.65,144
5388,2,125.49,47.77,482.98,145
5390,2,125.49,47.77,486.31,146
5392,2,125.49,47.77,489.64,147
5394,2,125.49,47.77,492.97,148
5396,2,125.49,47.77,496.3,149
5398,2,125.49,47.77,499.63,150
5400,2,125.49,47.77,502.96,151
5402,2,125.49,47.51,506.29,152
5404,2,125.49,47.51,509.62,153
5406,2,125.18,47.3,512.95,154
5408,2,125.18,47.3,516.29,155
5410,2,125.24,47.61,519.62,156
5412,2,125.03,48.28,522.95,157
5414,2,125.03,48.28,526.28,158
5416,2,125.03,48.54,529.61,159
5418,2,125.03,48.96,532.94,160
5420,2,124.87,48.7,536.27,161
5422,2,125.03,49.01,539.6,162
5424,2,124.92,49.58,542.93,163
5426,2,124.72,49.89,546.26,164
5428,2,124.72,50.92,549.59,165
5430,2,124.67,50.87,552.93,166
5432,2,124.77,51.49,556.26,167
5434,2,124.77,51.96,559.59,168
5436,2,124.77,52.58,562.92,169
5438,2,124.77,52.73,566.25,170
5440,2,124.77,53.87,569.58,171
5442,2,124.87,55.01,572.91,172
5444,2,125.03,54.86,576.24,173
5446,2,125.03,55.37,579.57,174
5448,2,125.29,55.99,582.9,175
5450,2,125.29,55.99,586.23,176
5452,2,125.29,55.99,589.56,177
5454,2,125.49,56.87,592.9,178
5456,2,125.8,57.39,596.23,179
5458,2,125.91,57.55,599.56,180
5465,2,125.75,57.6,602.89,181
