Spot ID,Track ID,x (micrón),y (micrón),t (sec),Frame
7741,9,66.45217258,58.86450524,470.1733568,141
7743,9,66.64100593,58.8301719,473.5079196,142
7745,9,66.58950593,59.01900525,476.8424824,143
7747,9,66.41783924,59.17350527,480.1770452,144
7749,9,66.31483924,59.29367194,483.511608,145
7751,9,66.2805059,59.27650528,486.8461709,146
7755,9,66.50367259,59.03617192,490.1807337,147
7759,9,66.46933925,59.13917193,493.5152965,148
7763,9,66.62383926,59.19067193,496.8498593,149
7765,9,66.64100593,59.43100529,500.1844221,150
7769,9,66.72683927,59.31083861,503.5189849,151
7773,9,66.77833928,59.22500527,506.8535477,152
7777,9,66.7096726,59.05333859,510.1881106,153
7781,9,66.6581726,58.74433856,513.5226734,154
7783,9,66.7096726,58.55550521,516.8572362,155
7785,9,66.91567262,58.38383853,520.191799,156
7787,9,67.00150596,58.36667186,523.5263618,157
7789,9,67.44783934,57.88600515,526.8609246,158
7791,9,68.25467274,56.71867171,530.1954874,159
7793,9,68.06583939,56.71867171,533.5300503,160
7795,9,68.08300606,56.75300505,536.8646131,161
7797,9,68.1173394,57.19933842,540.1991759,162
7799,9,68.10017273,57.35383844,543.5337387,163
7801,9,68.20317274,57.95467182,546.8683015,164
7813,9,68.37483942,58.04050517,550.2028643,165
7815,9,68.23750607,58.00617183,553.5374271,166
7817,9,68.06583939,57.92033849,556.8719899,167
7821,9,68.10017273,57.95467182,560.2065528,168
7825,9,68.18600607,57.33667177,563.5411156,169
7829,9,68.23750607,56.9418384,566.8756784,170
7831,9,68.13450606,57.21650509,570.2102412,171
7835,9,67.91133938,57.57700512,573.544804,172
7837,9,67.91133938,57.80017181,576.8793668,173
7839,9,67.91133938,57.76583847,580.2139296,174
7843,9,67.89417271,57.78300514,583.5484925,175
7847,9,67.87700604,57.74867181,586.8830553,176
7849,9,67.87700604,57.61133846,590.2176181,177
7851,9,68.1173394,56.82167172,593.5521809,178
7855,9,68.30617275,56.22083834,596.8867437,179
7857,9,68.35767275,56.16933833,600.2213065,180
7859,9,68.10017273,56.5641717,603.5558693,181
7861,9,67.91133938,56.8903384,606.8904322,182
7863,9,67.85983937,57.45683845,610.224995,183
7867,9,67.82550604,57.62850513,613.5595578,184
7869,9,67.75683936,57.37100511,616.8941206,185
7871,9,67.75683936,57.14783842,620.2286834,186
7873,9,67.87700604,56.49550503,623.5632462,187
7875,9,67.8426727,55.22517158,626.897809,188
7879,9,67.7911727,54.36683817,630.2323719,189
7881,9,67.72250603,54.22950483,633.5669347,190
7885,9,67.72250603,54.09217148,636.9014975,191
7887,9,67.80833937,53.66300478,640.2360603,192
7891,9,67.85983937,53.37117142,643.5706231,193
7893,9,68.03150605,52.89050471,646.9051859,194
7895,9,68.1688394,52.0836713,650.2397487,195
7897,9,68.61517277,51.36267124,653.5743116,196
7899,9,69.07867281,51.10517122,656.9088744,197
7901,9,69.47350618,50.91633786,660.2434372,198
7903,9,69.66233953,50.76183785,663.578,199
7907,10,70.88117298,32.78833625,0,0
7909,10,70.79533963,32.89133626,3.334562814,1
7911,10,70.72667296,33.13166962,6.669125628,2
7915,10,70.7610063,33.04583627,10.00368844,3
7919,10,70.72667296,33.23466962,13.33825126,4
7921,10,70.8125063,33.21750296,16.67281407,5
7923,10,70.74383963,33.20033629,20.00737688,6
7925,10,71.10433966,32.90850293,23.3419397,7
7927,10,71.07000633,32.90850293,26.67650251,8
7929,10,70.86400631,33.14883628,30.01106533,9
7931,10,70.67517296,33.33766963,33.34562814,10
7933,10,70.46917294,33.47500298,36.68019095,11
7935,10,70.34900626,33.56083632,40.01475377,12
7939,10,69.90267289,33.86983635,43.34931658,13
7941,10,69.83400622,33.76683634,46.6838794,14
7945,10,69.85117288,33.732503,50.01844221,15
7947,10,69.85117288,33.85266968,53.35300503,16
7949,10,69.74817287,33.69816967,56.68756784,17
7953,10,69.79967288,33.66383633,60.02213065,18
7955,10,69.83400622,33.50933632,63.35669347,19
7957,10,69.85117288,33.47500298,66.69125628,20
7959,10,69.76533954,33.59516966,70.0258191,21
7961,10,69.61083953,33.71533633,73.36038191,22
7963,10,69.54217286,33.86983635,76.69494472,23
7965,10,69.54217286,33.80116967,80.02950754,24
7967,10,69.59367286,34.19600304,83.36407035,25
7969,10,69.64517287,34.28183638,86.69863317,26
7971,10,69.76533954,34.24750305,90.03319598,27
7973,10,69.81683955,34.23033638,93.36775879,28
7975,10,69.90267289,34.00716969,96.70232161,29
7977,10,70.16017291,33.681003,100.0368844,30
7979,10,70.24600625,33.90416968,103.3714472,31
7981,10,70.45200627,33.71533633,106.7060101,32
