,spot ID,Track ID,x (micron),y (micron),t (sec),Frame,Classification,squared displacement,vx,vy,speed
1719,11708,9,128.5987733,33.32700603,344.3295163,103,Back,167.74824281910585,0.0,0.0,0.0
1720,11711,9,128.5987733,33.32700603,347.6725213,104,Back,167.74824281910585,0.0,0.0,0.0
1721,11714,9,128.2882732,33.37875604,351.0155263,105,Back,160.37731850876017,-0.09310347826087345,0.015517244377810865,0.09438772450564553
1722,11717,9,127.8742731,33.48225606,354.3585313,106,Back,150.37921437082986,-0.12413796101948892,0.03103448875562173,0.1279584809944185
1723,11720,9,127.4602731,33.63750609,357.7015363,107,Back,140.04278352408468,-0.1241379310344832,0.046551733133434726,0.13257937162035666
1724,11723,9,127.7190231,33.84450613,361.0445414,108,Back,142.37894661360477,0.0775862068965536,0.06206897751124346,0.0993588318665536
1725,11726,9,127.4775231,33.84450613,364.3875464,109,Back,137.62151649420474,-0.07241379310344889,0.0,0.07241379310344889
1726,11729,9,127.4085231,33.84450613,367.7305514,110,Back,136.28367524580466,-0.020689655172414577,0.0,0.020689655172414577
1727,11732,9,127.098023,33.81000612,371.0735564,111,Back,130.8347079713144,-0.09310347826086918,-0.010344830584708286,0.09367642811347184
1728,11735,9,126.925523,33.67200609,374.4165614,112,Back,129.47663286690448,-0.051724137931034316,-0.04137931934033002,0.06623922186875139
1729,11738,9,126.6840229,33.60300608,377.7595664,113,Back,126.03561781299419,-0.0724138230884546,-0.020689658170913446,0.0753115112682998
1730,11741,9,126.4425229,33.56850608,381.1025714,114,Back,122.24824162506417,-0.07241379310344889,-0.010344827586207288,0.07314897736412627
1731,11744,9,126.4425229,33.56850608,384.4455764,115,Back,122.24824162506417,0.0,0.0,0.0
1732,11747,9,126.4425229,33.56850608,387.7885815,116,Back,122.24824162506417,0.0,0.0,0.0
1733,11750,9,126.4425229,33.56850608,391.1315865,117,Back,122.24824162506417,0.0,0.0,0.0
1734,11753,9,126.6840229,33.7065061,394.4745915,118,Back,124.63945404066416,0.07241379310344889,0.04137931634182902,0.08340266933705576
1735,11759,9,126.856523,33.67200609,397.8175965,119,Back,128.21496763230445,0.05172416791604003,-0.010344830584708286,0.0527485077175935
1736,11762,9,126.856523,33.67200609,401.1606015,120,Back,128.21496763230445,0.0,0.0,0.0
