#vx_post  vy_post  v_post
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
4.15321 -7.86433 8.89364
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5.84266 3.67504 6.90236
0 0 0
0 0 0
-3.89179 -5.90042 7.06831
0 0 0
-3.62703 8.96472 9.67066
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
11.4769 -0.480811 11.487
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
4.98863 4.15844 6.49454
0 0 0
5.515 3.15694 6.35464
0 0 0
0 0 0
-3.49207 0.977964 3.62643
0 0 0
0 0 0
0 0 0
8.00313 -4.12984 9.00587
0 0 0
0 0 0
0 0 0
0 0 0
5.33016 -6.61428 8.49467
0 0 0
1.55802 -2.97941 3.36219
-6.32184 -7.5289 9.83107
3.06966 1.69478 3.50644
0 0 0
0 0 0
0 0 0
0 0 0
-6.10845 6.74257 9.0981
0 0 0
-0.913671 3.60255 3.7166
0 0 0
0 0 0
1.96662 1.22587 2.31741
0 0 0
3.03293 -8.74043 9.25169
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-11.2818 -2.82343 11.6297
0 0 0
0 0 0
0 0 0
-5.22046 7.50304 9.1405
0 0 0
0 0 0
0 0 0
0 0 0
0.252504 -0.486127 0.547793
0 0 0
0 0 0
-12.5229 -6.55807 14.1362
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
3.28696 3.84428 5.05792
1.11044 5.02991 5.15102
11.7977 11.2104 16.2744
0 0 0
0 0 0
-0.568679 -12.3924 12.4055
0 0 0
0 0 0
0 0 0
-0.808846 3.42899 3.52309
0 0 0
0 0 0
3.5576 0.402901 3.58035
0 0 0
0 0 0
0 0 0
0 0 0
1.26788 3.63255 3.84746
0 0 0
0 0 0
0 0 0
0 0 0
3.653 3.09656 4.78885
0 0 0
0 0 0
0 0 0
-3.85897 -0.335006 3.87348
-3.00969 2.71577 4.05384
0 0 0
