,Track ID,x (micron),y (micron),t (sec),Frame,Group,Classification,Together,squared displacement,dt,vx,vy,speed,diff time autocorrelation
775,26,22.02483529,15.74183473,340.125407,102,J,HTT,Y,457.47917054748126,1.0,0.16471765517241385,-0.11324338830584675,0.19988989699453805,0.03539865892890651
776,26,22.40250199,15.29550136,343.4599698,103,J,HTT,Y,478.9750000903996,1.0,0.11324338830584782,-0.13383309445277403,0.17531503690726066,0.033808898468806955
777,26,23.02050205,15.08950134,346.7945327,104,J,HTT,Y,507.91302522592036,1.0,0.18530736431784106,-0.06176912143928018,0.19533111281566393,0.02925158647722654
778,26,23.60416877,14.78050132,350.1290955,105,J,HTT,Y,537.7034147424955,1.0,0.17501250974512747,-0.09265367916041954,0.1980254600531212,0.0381542432633761
779,26,24.05050214,14.33416794,353.4636583,106,J,HTT,Y,564.3249234047133,1.0,0.13383309445277297,-0.1338330974512745,0.18926857938973174,0.03582259461943205
780,26,24.11916881,14.29983461,356.7982211,107,J,HTT,Y,567.9489339128185,1.0,0.020589706146927282,-0.010294851574213141,0.02301999062015217,0.004133375961494634
781,26,24.73716887,13.95650124,360.1327839,108,J,HTT,Y,601.659031606204,1.0,0.18530736431784106,-0.10294853673163414,0.21198400997624725,0.004875264083600549
782,26,25.4238356,13.47583453,363.4673467,109,J,HTT,Y,642.004023188048,1.0,0.2058970704647673,-0.14412794902548712,0.2513294040025296,0.05299200490289628
783,26,25.62983561,13.0638345,366.8019095,110,J,HTT,Y,659.1928004672003,1.0,0.061769118440779716,-0.1235382398800599,0.1381199504257596,0.03052339367227945
784,26,26.11050232,12.54883445,370.1364724,111,J,HTT,Y,692.1529642872983,1.0,0.14412794902548656,-0.15442280359820124,0.21123273411434576,0.027979777707847903
785,26,26.65983571,12.3085011,373.4710352,112,J,HTT,Y,724.0400343929535,1.0,0.16471765817091485,-0.0720639730134928,0.17979188835929102,0.03486873899162381
786,26,27.00316907,12.06816774,376.805598,113,J,HTT,Y,746.1492622674797,1.0,0.10294853373313315,-0.07206397601199432,0.12566470163279483,0.022150657811224474
787,26,27.34650243,11.96516773,380.1401608,114,J,HTT,Y,765.7850346586879,1.0,0.10294853373313421,-0.030884560719640356,0.1074814248540064,0.012824064840643308
788,26,27.96450249,11.55316769,383.4747236,115,J,HTT,Y,806.5420567541639,1.0,0.18530736431784106,-0.12353824287856036,0.22271173458968713,0.022892545809854024
