,Track ID,x (micron),y (micron),t (sec),Frame,Group,Classification,squared displacement,dt,vx,vy,speed
2023,33,68.44350609,70.22883958,130.0479497,39,B,P,285.6061186053044,1.0,-0.07206397601199219,-0.18530736431784106,0.1988266478847392
2024,33,68.23750607,69.95417289,133.3825126,40,B,P,292.5844842415734,1.0,-0.061769121439281774,-0.082358827586208,0.10294853493253546
2025,33,68.06583939,69.61083953,136.7170754,41,B,P,302.40959865682197,1.0,-0.05147426686656711,-0.10294853373312995,0.11509995980560533
2026,33,68.06583939,69.61083953,140.0516382,42,B,P,302.40959865682197,1.0,0.0,0.0,0.0
2027,33,68.23750607,69.43917285,143.386201,43,B,P,309.7887487723265,1.0,0.05147426686656711,-0.05147426686656711,0.07279560631591124
2028,33,68.13450606,69.19883949,146.7207638,44,B,P,317.04059112404474,1.0,-0.030884560719636626,-0.07206397601199645,0.07840326989037205
2029,33,68.13450606,69.19883949,150.0553266,45,B,P,317.04059112404474,1.0,0.0,0.0,0.0
2030,33,68.30617275,69.09583948,153.3898894,46,B,P,322.2036388131582,1.0,0.05147426986506597,-0.030884560719640887,0.060028797664011424
2031,33,68.44350609,69.09583948,156.7244523,47,B,P,323.5333003291448,1.0,0.041179412293852434,0.0,0.041179412293852434
2032,33,68.58083944,68.82117279,160.0590151,48,B,P,334.4817902827113,1.0,0.04117941529235556,-0.08235882758620373,0.09207996918545487
2033,33,68.44350609,68.58083944,163.3935779,49,B,P,341.62164834086457,1.0,-0.04117941529235556,-0.07206397301349332,0.08299976174851215
2034,33,68.40917276,68.37483942,166.7281407,50,B,P,348.6695620489049,1.0,-0.010294851574211544,-0.061769121439281774,0.06262114924141671
2035,33,68.30617275,68.23750607,170.0627035,51,B,P,352.6455803528273,1.0,-0.030884560719640887,-0.04117941529235556,0.05147426866566898
2036,33,68.58083944,67.89417271,173.3972663,52,B,P,367.93197314203815,1.0,0.082358827586208,-0.10294853373312995,0.13183845068558767
2037,33,68.68383945,67.24183932,176.7318291,53,B,P,393.55153387520306,1.0,0.030884560719636626,-0.19560221589205687,0.19802546036489285
2038,33,68.99283947,66.24617256,180.066392,54,B,P,435.97103863623875,1.0,0.0926536791604238,-0.2985507526236857,0.31259759460707937
2039,33,68.99283947,66.17750589,183.4009548,55,B,P,438.74352435067203,1.0,0.0,-0.020589706146926217,0.020589706146926217
2040,33,68.75250612,66.69250594,186.7355176,56,B,P,415.6135425691408,1.0,-0.07206397301349332,0.15442280359820018,0.1704101478129099
2041,33,68.82117279,66.52083925,190.0700804,57,B,P,423.1306100842857,1.0,0.020589706146926217,-0.051474269865070234,0.05543948464189443
2042,33,68.95850614,65.9028392,193.4046432,58,B,P,449.55409729737215,1.0,0.0411794152923513,-0.18530736131933795,0.18982771768884438
2043,33,68.82117279,65.66250584,196.739206,59,B,P,457.9929690802882,1.0,-0.0411794152923513,-0.07206397601199645,0.0829997643519398
2044,33,69.19883949,65.21617247,200.0737688,60,B,P,480.84004390125904,1.0,0.11324338830584461,-0.13383309445277083,0.17531503690725614
2045,33,69.54217286,64.63250575,203.4083317,61,B,P,509.9169606499746,1.0,0.10294853673163308,-0.1750125097451264,0.2030462503531458
2046,33,69.50783952,64.28917239,206.7428945,62,B,P,524.5703495981061,1.0,-0.010294854572710411,-0.10294853373313421,0.10346199605882118
2047,33,69.64517287,64.04883903,210.0774573,63,B,P,536.9156917498198,1.0,0.0411794152923513,-0.07206397601199645,0.0829997643519398
2048,33,69.64517287,63.80850568,213.4120201,64,B,P,547.7168342371684,1.0,0.0,-0.07206397301349118,0.07206397301349118
2049,33,69.85117288,63.15617229,216.7465829,65,B,P,580.1768435077221,1.0,0.06176911844077865,-0.19560221589205473,0.20512350146882957
2050,33,70.22883958,62.5038389,220.0811457,66,B,P,615.8419502191448,1.0,0.11324338830584889,-0.19560221589205473,0.22601834407160687
