18 4 4.13588 3.85355
17.9679 6.00313 3.80365 1.32353
17.9905 8.02866 2.84751 0.862585
18.0414 10.0279 0.788978 0.549956
18.0595 12.0016 0.810959 5.53637
18 14 2.54143 5.32079
18 16 3.84841 5.90525
18.0549 17.9885 1.45876 3.30872
17.9451 20.0115 1.33752 0.578004
18 22 0.0727592 0.484991
18 24 1.09378 0.526781
18.0471 26.0497 3.43698 3.23038
17.9883 28.0066 3.66256 0.924497
17.982 29.9935 1.65511 4.65943
20 2 3.21053 5.27205
20 4 3.16207 5.20174
20 6 3.57809 0.302572
20.0009 8.00297 3.00338 3.01192
20 10 0.736872 0.692037
19.8151 11.9647 4.88307 5.30002
20.1849 14.0353 1.6082 3.49272
19.9686 16.0236 0.737176 2.62945
19.9791 17.9161 0.0807821 3.71309
20 20 3.7597 0.0178903
20 22 5.14924 4.40381
20 24 2.68228 5.98176
20 26 4.11304 5.65295
20 28 3.65876 1.14881
20 0 4.27412 5.76312
22.0162 2.09253 2.56778 1.38692
22.0593 3.99192 0.567646 5.33376
22 6 3.49381 3.92162
21.9854 8.00641 1.7641 4.12304
22 10 3.31057 2.93884
22 12 5.29907 2.9074
22 14 3.48844 4.28395
22 16 2.59113 0.507238
21.9362 18.0706 2.70544 3.19558
22 20 2.06126 4.45592
22.0593 22.0278 4.79218 0.761885
22 24 4.02413 3.55412
22 26 0.0346158 3.77348
22 28 2.06449 5.10855
22 0 4.6171 2.01558
24 2 0.0076192 1.21844
24.0417 3.95299 5.03522 6.08829
24 6 5.37104 2.64729
24 8 0.571742 5.40025
23.9677 10.0301 3.47336 1.6368
24 12 2.82451 0.73096
24 14 0.198231 0.0481962
24 16 4.93352 1.76787
24.0742 18.0595 0.796711 0.521221
23.875 19.8752 4.59818 6.2436
24.1083 22.1216 1.83806 6.04847
24.0676 24.0191 1.72675 4.87231
23.9082 25.9499 3.57785 3.64156
24.0079 27.9776 1.19865 2.89243
23.9742 0.0136015 5.75108 4.41488
26 2 1.1298 2.18815
25.9714 4.09871 0.333063 0.550131
26 6 3.84219 1.02466
25.9961 8.021 1.48812 3.99561
25.9604 10.0329 2.0379 0.610051
26.0357 11.8976 4.66017 5.18865
25.9918 14.0942 1.94955 2.75262
26 16 3.29124 2.26416
26 18 2.73187 5.48989
26 20 5.9474 2.92052
26.0523 22.0458 6.039 1.31206
26 24 2.03458 4.38654
26.0587 26.1195 2.63485 2.21306
26 28 3.02326 0.0422877
26.0114 29.9685 1.19617 5.55459
27.9882 2.00012 0.517712 3.54631
28.0286 3.90129 6.24229 5.49654
28 6 0.99284 0.703805
28 8 4.15277 3.17889
28 10 5.44474 3.40856
28 12 3.46052 1.82587
27.9996 14.0662 0.971118 2.24896
1.69558 2.07083 1.68845 4.57358
