frame,Area,X,Y,x,y,particle
10,1.326,11.604,35.103,11.604,35.103,14
10,2.578,6.146,46.212,6.146,46.212,3
10,1.125,16.627,30.777,16.627,30.777,24
10,1.4,5.118,10.099,5.118,10.099,0
10,1.432,7.804,11.257,7.804,11.257,16
10,2.345,37.853,15.667,37.853,15.667,17
10,2.504,25.322,19.169,25.322,19.169,20
10,1.56,30.059,18.884,30.059,18.884,21
10,2.673,13.543,34.35,13.543,34.35,29
10,1.347,15.476,19.488,15.476,19.488,19
10,1.326,18.698,20.537,18.698,20.537,22
10,1.485,16.782,26.067,16.782,26.067,38
10,1.549,37.826,28.585,37.826,28.585,37
10,1.729,38.624,28.926,38.624,28.926,33
11,1.061,48.587,42.055,48.587,42.055,30
11,2.27,31.492,41.978,31.492,41.978,11
11,2.483,7.601,42.902,7.601,42.902,13
11,2.801,33.464,47.421,33.464,47.421,4
11,1.093,24.836,46.0,24.836,46.0,1
11,2.631,6.185,46.197,6.185,46.197,3
11,1.528,20.218,39.458,20.218,39.458,12
11,1.04,47.968,44.992,47.968,44.992,5
11,1.75,2.077,48.297,2.077,48.297,32
11,1.262,11.259,35.321,11.259,35.321,14
11,1.209,16.61,30.816,16.61,30.816,24
11,2.758,13.431,34.482,13.431,34.482,29
11,1.4,5.071,10.056,5.071,10.056,0
11,2.323,37.715,15.653,37.715,15.653,17
11,2.483,25.894,19.097,25.894,19.097,20
11,1.432,7.841,10.902,7.841,10.902,16
11,1.209,15.47,19.47,15.47,19.47,19
11,1.252,18.88,20.545,18.88,20.545,22
11,1.676,16.771,25.747,16.771,25.747,38
11,1.772,38.848,28.726,38.848,28.726,33
11,1.517,30.396,18.888,30.396,18.888,21
12,2.281,31.576,42.019,31.576,42.019,11
12,2.504,7.588,42.961,7.588,42.961,13
12,1.114,48.065,44.768,48.065,44.768,5
12,1.761,1.992,48.551,1.992,48.551,32
12,1.008,25.092,45.914,25.092,45.914,1
12,2.822,33.446,47.38,33.446,47.38,4
12,2.631,6.193,46.177,6.193,46.177,3
12,1.125,48.754,41.806,48.754,41.806,30
12,1.125,28.088,40.959,28.088,40.959,15
12,1.262,16.68,30.636,16.68,30.636,24
12,1.337,11.172,35.479,11.172,35.479,14
12,1.4,5.197,9.972,5.197,9.972,0
12,1.453,7.937,10.901,7.937,10.901,16
12,2.196,37.871,15.659,37.871,15.659,17
12,2.536,25.908,19.206,25.908,19.206,20
12,1.411,20.163,39.507,20.163,39.507,12
12,1.273,15.554,19.5,15.554,19.5,19
12,1.305,18.82,20.529,18.82,20.529,22
12,1.729,16.748,25.63,16.748,25.63,38
12,1.761,39.062,28.478,39.062,28.478,33
12,1.697,30.717,18.98,30.717,18.98,21
12,2.642,13.261,34.639,13.261,34.639,29
13,1.528,20.192,39.533,20.192,39.533,12
13,1.04,28.116,40.921,28.116,40.921,15
13,1.114,48.955,41.496,48.955,41.496,30
13,2.281,31.822,42.067,31.822,42.067,11
13,2.493,7.615,42.963,7.615,42.963,13
13,1.125,48.084,44.41,48.084,44.41,5
13,1.114,25.258,45.666,25.258,45.666,1
13,2.748,33.402,47.373,33.402,47.373,4
13,1.411,10.943,35.646,10.943,35.646,14
13,2.557,6.149,46.173,6.149,46.173,3
13,1.857,1.928,48.642,1.928,48.642,32
13,2.801,12.95,34.873,12.95,34.873,29
13,1.326,16.739,30.544,16.739,30.544,24
13,1.453,5.072,9.948,5.072,9.948,0
13,1.581,7.855,10.866,7.855,10.866,16
13,2.578,26.019,19.148,26.019,19.148,20
13,2.345,37.812,15.633,37.812,15.633,17
13,1.231,15.497,19.482,15.497,19.482,19
13,1.316,18.739,20.532,18.739,20.532,22
13,1.687,16.716,25.32,16.716,25.32,38
13,1.464,38.451,27.967,38.451,27.967,37
13,1.772,39.409,28.082,39.409,28.082,33
13,1.697,30.841,18.996,30.841,18.996,21
14,1.125,48.182,43.907,48.182,43.907,5
14,1.072,48.995,41.042,48.995,41.042,30
14,2.249,31.881,42.072,31.881,42.072,11
14,2.493,7.702,42.983,7.702,42.983,13
14,1.093,25.471,45.469,25.471,45.469,1
14,1.75,1.958,48.822,1.958,48.822,32
14,2.716,33.423,47.424,33.423,47.424,4
14,2.663,6.251,46.155,6.251,46.155,3
14,1.528,20.19,39.553,20.19,39.553,12
14,1.029,48.562,46.269,48.562,46.269,41
14,1.697,31.124,19.047,31.124,19.047,21
14,2.716,12.536,35.268,12.536,35.268,29
14,1.432,10.988,35.574,10.988,35.574,14
14,1.475,5.13,10.012,5.13,10.012,0
14,1.517,7.955,10.901,7.955,10.901,16
14,2.313,37.975,15.632,37.975,15.632,17
14,1.273,15.433,19.484,15.433,19.484,19
14,2.483,26.41,19.068,26.41,19.068,20
14,1.326,18.709,20.53,18.709,20.53,22
14,1.761,16.606,25.027,16.606,25.027,38
14,1.835,39.552,27.92,39.552,27.92,33
