,frame,Area,X,Y,x,y,particle,squared displacement,dt,vx,vy,speed
28,4,4.074,19.74,40.916,19.74,40.916,10,0.22266400000000242,1.0,0.0425787106446775,-0.10524737631184594,0.11353394567568979
29,4,5.082,54.053,21.457,54.053,21.457,9,3.582466000000006,1.0,-0.07046476761619173,0.6383808095952028,0.6422580023126457
30,4,1.867,4.035,18.555,4.035,18.555,7,2.088003999999998,1.0,0.07346326836581712,-0.11064467766116935,0.13281226032912827
31,4,3.13,38.68,15.715,38.68,15.715,8,0.0024819999999999027,1.0,0.04347826086956615,0.00029985007496235257,0.0434792948230477
32,4,5.421,54.163,14.159,54.163,14.159,0,0.42795399999999323,1.0,0.18020989505247348,-0.04827586206896539,0.1865641046217768
33,4,2.567,52.716,27.215,52.716,27.215,6,0.0919530000000005,1.0,-0.03628185907046543,-0.011094452773612904,0.037940218501677635
34,5,4.095,19.773,40.857,19.773,40.857,10,0.2897060000000006,1.0,0.009895052473763493,-0.017691154422787857,0.020270397338716856
35,5,9.803,22.095,44.006,22.095,44.006,12,5.092165000000016,1.0,-0.2290854572713652,0.10074962518740585,0.25026113103842806
36,5,8.89,48.549,44.543,48.549,44.543,5,2.7169059999999945,1.0,-0.015892053973012674,-0.0035982008995503615,0.016294306649706606
37,5,3.172,38.381,15.77,38.381,15.77,8,0.07208000000000037,1.0,-0.08965517241379295,0.016491754122938445,0.09115935439985519
38,5,5.421,54.125,21.301,54.125,21.301,9,2.9992419999999966,1.0,0.021589205397302167,-0.04677661169415363,0.05151839662948112
39,5,1.888,4.155,18.453,4.155,18.453,7,2.566599999999999,1.0,0.03598200899550228,-0.030584707646177007,0.04722424497177827
40,5,2.567,52.701,27.052,52.701,27.052,6,0.01960900000000016,1.0,-0.004497751124437952,-0.04887556221889063,0.04908207765967158
41,5,2.472,54.577,16.039,54.577,16.039,0,3.8044899999999986,1.0,0.1241379310344832,0.5637181409295354,0.5772247121655254
42,5,2.833,53.785,12.775,53.785,12.775,13,3.801097000000003,2.0,-0.06731634182908623,0.3301349325337331,0.3369281281761778
43,6,9.728,21.205,44.363,21.205,44.363,12,10.339488000000024,1.0,-0.26686656671664183,0.10704647676161899,0.287535584959851
44,6,8.986,48.627,44.334,48.627,44.334,5,3.476788999999981,1.0,0.023388305847077347,-0.06266866566716524,0.06689076548298253
45,6,4.106,19.799,40.81,19.799,40.81,10,0.34953699999999727,1.0,0.007796101949025427,-0.014092953523237495,0.01610560599939444
