 ,Label,Area,X,Y,XM,YM
60,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.567,52.701,27.052,52.701,27.052
61,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,4.350,29.512,40.076,29.512,40.076
62,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,4.095,19.773,40.857,19.773,40.857
63,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,8.890,48.549,44.543,48.549,44.543
64,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,3.140,31.920,42.093,31.920,42.093
65,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,9.803,22.095,44.006,22.095,44.006
66,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,3.787,33.443,47.495,33.443,47.495
67,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.461,23.689,47.073,23.689,47.073
68,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.347,54.206,10.496,54.206,10.496
69,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.623,53.565,14.121,53.565,14.121
70,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,7.479,54.268,19.419,54.268,19.419
71,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,3.215,38.324,15.754,38.324,15.754
72,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,1.963,4.198,18.413,4.198,18.413
73,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.589,52.793,27.246,52.793,27.246
74,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,6.090,37.207,29.782,37.207,29.782
75,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,4.265,33.899,34.668,33.899,34.668
76,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,4.371,29.511,40.079,29.511,40.079
77,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,4.106,19.799,40.810,19.799,40.810
78,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,8.986,48.627,44.334,48.627,44.334
79,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,3.087,31.931,42.103,31.931,42.103
80,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,9.728,21.205,44.363,21.205,44.363
81,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.398,1.484,46.427,1.484,46.427
82,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,3.819,33.439,47.451,33.439,47.451
83,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.461,23.992,46.590,23.992,46.590
84,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,1.485,54.177,10.783,54.177,10.783
85,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,1.676,53.555,14.420,53.555,14.420
86,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:7/200 - Series 1,2.472,54.561,16.048,54.561,16.048
