#vx_post  vy_post  v_post
2.03951 0.741334 2.17006
0.192555 1.29165 1.30592
-10.4007 1.71183 10.5406
0.281923 0.324009 0.429491
0.836689 -0.653921 1.06191
-0.28035 -0.393372 0.48305
-1.88382 1.68037 2.52437
-0.159399 0.528372 0.551893
1.32376 0.19433 1.33795
-1.10134 10.9337 10.989
0 0 0
0 0 0
-0.520202 0.444564 0.684286
-0.47988 0.62002 0.784034
4.00771 8.41884 9.32408
-5.56418 6.67529 8.6902
0.337489 0.455419 0.566837
0 0 0
1.43829 6.52097 6.67771
0 0 0
0 0 0
0 0 0
-12.3236 -8.21704 14.8119
-2.84437 -0.460666 2.88144
2.84437 0.460666 2.88144
-0.848227 -0.920256 1.25154
0.848227 0.920256 1.25154
0.520202 -0.444564 0.684286
1.37126 0.032271 1.37164
0 0 0
-2.10302 -3.29187 3.90629
-0.602941 -0.151341 0.621644
0.602941 0.151341 0.621644
-13.8302 -3.94695 14.3824
1.48081 -11.1236 11.2218
2.29652 5.388 5.85701
0 0 0
0 0 0
-0.856246 0.961281 1.28733
0 0 0
12.2705 10.5327 16.171
-2.49864 4.45838 5.11081
1.70821 3.10391 3.54291
0.83295 0.795421 1.15174
-11.0167 1.62767 11.1362
1.27366 1.63734 2.07439
0 0 0
-3.42523 -6.85351 7.66177
-8.87499 -11.0811 14.197
-0.332142 -0.811102 0.876473
-0.655816 0.212057 0.689248
0 0 0
0.450723 -0.506013 0.677643
-7.37135 -7.39377 10.4405
0 0 0
3.79142 -6.25245 7.31219
0 0 0
0 0 0
-0.0139123 -0.0496347 0.0515476
0 0 0
-0.489251 1.19737 1.29347
-0.815683 -1.39624 1.61704
-2.1978 1.6446 2.745
-11.2866 0.0874042 11.287
-0.113802 2.81818 2.82048
1.27069 -1.2041 1.75057
-15.2336 -1.19178 15.2802
0.248891 4.17157 4.17899
0 0 0
-2.80108 9.08254 9.50466
-1.08775 -4.02803 4.17231
1.44656 4.93085 5.13866
0.375441 7.59891 7.60818
-3.64287 6.14826 7.14643
0 0 0
0.489251 -1.19737 1.29347
1.17215 -0.877114 1.46399
-1.83846 -0.292287 1.86155
-1.12105 -12.6869 12.7363
0.445945 -2.00708 2.05602
0 0 0
2.04645 2.13267 2.95571
8.81387 12.4648 15.2662
0 0 0
0 0 0
0.662184 -1.18696 1.35918
-1.44844 2.42717 2.82651
0 0 0
0 0 0
7.33555 -3.19425 8.00085
0 0 0
0 0 0
0 0 0
-2.82799 -3.56903 4.55363
0 0 0
-13.1373 -0.038474 13.1373
2.75318 -5.9058 6.51602
10.3295 0.425308 10.3383
-4.34784 1.99272 4.78274
-0.0439157 0.0201277 0.0483085
0 0 0
1.44844 -2.42717 2.82651
-3.21926 -0.785578 3.31373
0.556185 -0.416954 0.69512
1.98865 5.39547 5.75029
0 0 0
0 0 0
0 0 0
0.660235 -0.325845 0.736265
-0.660235 0.325845 0.736265
6.70841 -1.53988 6.88288
0 0 0
-0.852797 0.915651 1.25127
-4.95379 5.26517 7.22925
0 0 0
11.6288 1.12665 11.6832
-0.141453 0.145528 0.202947
0.277866 -0.307416 0.414384
5.8411 -7.96808 9.87971
-3.9674 1.9766 4.43252
-4.10191 -12.6118 13.2621
-0.761869 -0.788569 1.09649
0.421008 -0.0974693 0.432144
-0.014647 0.613362 0.613537
6.01105 6.38212 8.76722
-0.255522 -0.786061 0.826549
0.852797 -0.915651 1.25127
-0.576154 -0.878679 1.05073
8.91525 -3.77399 9.68116
-2.03247 -1.95587 2.82071
-9.82776 -4.17695 10.6786
0 0 0
1.03334 -1.14323 1.54102
0 0 0
1.47084 0.0222769 1.47101
0 0 0
0 0 0
0 0 0
-0.980966 -2.6299 2.8069
-0.127986 -0.252933 0.283471
10.3417 4.81507 11.4077
0 0 0
0.576154 0.878679 1.05073
-1.13741 -1.09454 1.57852
12.3089 -0.446472 12.317
0.495937 -0.0853055 0.50322
-0.495937 0.0853055 0.50322
-0.573321 -0.580701 0.816034
0.138234 0.140014 0.196755
0 0 0
-0.319192 -0.461551 0.561171
4.2865 -7.51604 8.65245
-6.80495 -8.91343 11.2141
7.89769 -1.25206 7.99632
11.3943 3.04145 11.7932
0.857202 -0.315104 0.913283
-0.857202 0.315104 0.913283
0 0 0
0 0 0
2.40704 2.31632 3.34053
0 0 0
0 0 0
0.285236 -3.22133 3.23393
0 0 0
0 0 0
0.319192 0.461551 0.561171
0 0 0
