#vx_post  vy_post  v_post
0.255299 0.255299 0.361047
-2.84139 -3.28866 4.34612
-2.30521 -2.30521 3.26006
5.58518 -0.551615 5.61235
2.16713 2.16713 3.06479
0.0475653 0.0475653 0.0672675
-1.58395 -1.58395 2.24004
0.623532 0.479056 0.786312
-2.08521 -2.23443 3.05627
-0.380648 -0.231429 0.44548
-0.213259 -0.213259 0.301594
3.84422 2.98907 4.86956
-0.523113 0.33204 0.619595
0.800334 0.800334 1.13184
0.959422 2.11845 2.32558
-0.169429 -0.169429 0.239608
-7.29789 -2.96984 7.87903
0.514245 0.514245 0.727253
-4.48231 -4.48231 6.33894
0.862458 0.862458 1.2197
-2.26538 -2.26538 3.20374
-1.16402 -1.01955 1.5474
0.756816 0.756816 1.0703
3.30723 -4.20525 5.34994
-4.42757 0.200696 4.43211
1.60125 1.60125 2.26451
1.96231 1.96231 2.77513
0.933279 0.933279 1.31986
-2.05788 -2.05788 2.91029
-3.36601 4.04097 5.25923
2.70667 2.70667 3.82781
2.54049 2.54049 3.59279
7.09395 2.15402 7.41377
4.37749 -1.7161 4.70186
-2.58944 -2.58944 3.66201
0.374459 0.374459 0.529565
-2.26676 -2.26676 3.20568
-0.0262098 -0.0262098 0.0370663
3.82197 3.82197 5.40509
3.90403 3.90403 5.52113
-1.92907 -1.92907 2.72812
-7.0476 -0.484297 7.06422
-0.227009 -0.227009 0.321039
-4.07036 -4.07036 5.75636
1.34243 1.34243 1.89848
1.37769 1.37769 1.94835
-0.975308 -0.975308 1.37929
2.26159 2.26159 3.19838
1.16686 1.16686 1.65019
4.76063 2.0862 5.19768
0.92536 0.92536 1.30866
2.25085 2.25085 3.18318
0.978547 0.978547 1.38388
0.321846 0.321846 0.455159
-0.905268 -0.211546 0.929657
-0.333502 -0.333502 0.471643
-4.81263 -6.12912 7.79279
0.0656748 0.0656748 0.0928782
0.175607 0.175607 0.248346
4.0967 -0.15805 4.09975
0.76777 0.76777 1.08579
-0.716724 4.5571 4.61311
0.435785 0.278391 0.517117
2.77839 2.77839 3.92924
2.27074 2.27074 3.21131
-1.65621 -1.65621 2.34224
2.16416 -4.80557 5.27039
-1.11175 -1.21112 1.64402
8.43155 12.7284 15.2677
6.04141 -0.195478 6.04458
-1.36966 -1.36966 1.93699
1.84426 1.84426 2.60818
2.49232 2.49232 3.52468
0.652138 0.652138 0.922262
-8.09448 -2.48128 8.46624
-0.267992 -0.267992 0.378999
-0.0692623 -0.0692623 0.0979517
1.21096 1.36835 1.82724
-1.8325 -1.8325 2.59155
-1.72829 -0.973328 1.98352
-4.41745 -6.93175 8.21967
4.62697 -2.49934 5.25885
-0.606911 -0.606911 0.858302
-2.41817 -2.41817 3.41981
-2.43449 -2.43449 3.44289
-2.34482 -2.34482 3.31608
-2.81043 -2.81043 3.97454
0.000729108 0.000729108 0.00103111
0.799253 0.799253 1.13032
5.6929 0.479422 5.71305
2.94728 2.8571 4.10481
2.40691 2.40691 3.40388
-6.50593 -1.89787 6.7771
2.47499 2.47499 3.50016
0.178306 -0.57666 0.603598
-3.63986 -3.63986 5.14754
0.913922 -6.11325 6.18118
1.18354 1.18354 1.67377
-1.06217 -1.06217 1.50214
-3.30413 -3.30413 4.67274
1.09967 1.09967 1.55516
1.50055 -5.84676 6.03624
-1.68265 -1.68265 2.37963
-3.8712 -3.83866 5.45174
-3.88256 -2.56719 4.65454
0.815788 0.90596 1.21913
0.852749 0.852749 1.20597
-0.595737 0.243393 0.643539
2.97725 2.97725 4.21046
-4.23485 2.65205 4.99673
-0.551621 1.30734 1.41896
-0.484585 -0.484585 0.685307
-1.68821 -7.9731 8.14987
-4.95223 -5.98755 7.77015
-3.68564 -3.68564 5.21229
1.25679 1.25679 1.77737
-0.728405 -0.728405 1.03012
-5.40464 1.54639 5.62152
0.805661 0.773121 1.1166
-5.41514 -5.41514 7.65816
-0.128033 -0.128033 0.181065
-5.18311 -3.35051 6.17175
2.00656 1.63814 2.59033
-3.91681 -3.91681 5.53921
2.27338 2.27338 3.21504
1.74857 1.74857 2.47285
1.0592 1.0592 1.49793
2.10273 2.10273 2.97371
-3.268 -3.268 4.62165
-0.829149 -0.829149 1.17259
-2.64111 -2.64111 3.7351
1.77684 1.77684 2.51284
2.65341 0.297111 2.67
-1.18037 -1.18037 1.66929
4.3256 4.3256 6.11732
3.06068 3.06068 4.32846
1.43176 -5.60445 5.78445
0.786893 0.316183 0.84804
1.0852 1.0852 1.5347
0.280017 0.280017 0.396003
11.8107 -8.0076 14.2694
-2.47593 -7.31431 7.72201
0.424571 0.424571 0.600435
-0.00511343 -0.00511343 0.00723149
-0.780891 -1.06568 1.32116
1.55036 1.83515 2.40237
-1.26814 -1.26814 1.79342
-1.6383 -1.6383 2.3169
2.52447 2.52447 3.57014
1.48846 -0.934897 1.75771
-0.162322 2.26103 2.26685
1.20224 1.20224 1.70022
3.38037 -3.72147 5.02755
2.22285 2.19651 3.12501
4.39163 -1.96662 4.81186
2.64368 2.64368 3.73873
1.49413 -1.17803 1.90267
-1.20826 -1.20826 1.70874
-3.79273 -3.79273 5.36373
-1.43543 -1.43543 2.03001
2.21552 2.21552 3.13322
0.114631 0.114631 0.162113
0.66082 0.66082 0.934541
-0.351429 -0.351429 0.496996
3.17494 3.25133 4.54438
0.242342 0.242342 0.342723
1.95349 1.95349 2.76265
5.9938 3.35094 6.86691
5.06824 5.58005 7.53817
