2.0265 3.84508 4.60514 4.83144
2.11607 6.03058 1.23817 4.28498
1.88766 7.87246 4.73462 4.61196
2.10713 9.90704 0.819245 3.19959
2.02544 11.6102 4.91476 5.12247
2.07797 13.8719 5.28825 5.4033
2.12175 16.0423 0.407738 0.191495
2.18834 17.9528 0.133239 0.316524
2.13292 0.0958475 0.255861 0.386808
3.842 2.07806 2.15434 1.98536
4.04166 4.08733 1.80399 1.59231
3.58249 5.65966 3.85643 3.86814
4.02668 7.82409 4.80133 4.72089
4.03023 10.0203 0.088292 0.106893
3.91975 12.0908 5.75701 2.30744
4.26106 14.0655 0.251536 0.149693
3.98794 16.029 5.4677 2.47995
3.89542 18.1878 1.9988 1.90208
4.25676 19.9277 0.065184 0.0144985
5.7644 2.12258 2.6604 2.40526
5.89688 3.9585 3.08665 3.08137
5.8556 5.77367 4.22727 4.21284
6.24066 8.23724 0.980937 0.76232
5.96748 9.82443 4.55032 4.6756
5.97408 12.0156 5.93973 2.69303
5.78875 13.7873 3.90427 3.69471
5.82378 16.2043 2.1449 1.90859
6.06326 17.9681 4.44323 1.57479
6.09884 19.9934 5.77368 5.79541
7.82133 2.00992 3.03232 3.23916
8.18693 4.00441 5.99923 5.93036
7.9548 5.9525 4.22428 4.23627
8.06054 8.03895 0.123329 3.04392
7.94912 10.2625 1.73836 1.94794
8.01179 11.9721 2.1658 5.2046
8.08895 13.8739 5.50355 2.66876
7.72064 15.7732 3.80313 3.79581
7.89809 17.9769 3.97707 3.88364
8.0214 0.0872083 1.25038 1.37789
9.93128 1.94191 3.86763 3.82889
9.96325 3.95472 1.56112 4.76728
10.1337 5.66615 5.09927 5.19606
10.0297 7.92377 4.75388 4.61235
10.2643 10.0154 0.0263687 0.259306
10.0598 12.0074 0.100036 3.10308
10.0293 13.9905 3.18001 6.13399
9.93386 15.8037 4.62649 4.76433
9.88501 18.1379 2.16764 1.96018
9.97348 0.00915861 4.08737 4.0567
11.9636 1.91714 4.50491 1.41411
11.5871 4.54951 2.25525 5.63558
11.9689 5.99125 5.9843 3.15494
11.8399 8.06977 2.10133 2.21871
12.2722 10.5094 1.15736 0.920515
12 12 4.03645 4.17827
11.9229 14.1652 1.6874 1.52503
12.0324 16.1247 4.90717 1.65745
11.9656 18.004 3.34637 3.10868
11.9644 19.9181 4.15396 4.3913
13.9382 1.82772 4.45908 4.70537
13.987 3.95444 5.306 2.18694
13.9722 5.98889 0.93862 4.09417
13.8872 7.82675 4.10366 4.14449
13.8959 10.0684 2.2014 1.95325
14.0037 12.1001 1.02761 0.930398
14.2687 13.838 6.03598 6.27907
13.891 15.9295 3.72862 3.99262
14.1362 18.1594 0.941925 0.719094
14.0586 0.0118448 0.294156 3.40939
16.1523 2.09451 0.631821 0.588105
16.1598 3.92299 5.78193 5.65863
15.886 6.21435 1.99439 2.10265
16.0369 7.91804 5.08074 5.16883
16.0298 9.8825 5.09239 2.11516
16.3509 12.0742 0.222222 0.169238
16.0103 14.0698 3.09744 1.45882
16.2706 15.8631 5.67947 5.63458
15.8514 18.1006 2.50814 2.35973
15.881 19.811 4.20839 4.02676
18.3548 2.01526 0.048589 0.161979
18.0205 3.97401 5.12867 1.75989
17.9438 5.92983 3.98894 4.06546
17.898 8.10807 2.2558 2.49324
17.9249 10.0425 5.81748 2.93982
17.9635 12.0823 5.14541 1.97689
18.0144 14.0396 2.68106 6.13149
18.0586 15.9801 6.06008 3.18013
18.0512 17.7657 4.90511 1.74756
18.0566 19.9794 6.03252 3.02417
0.0185629 2.05707 4.36185 1.2397
0.088225 4.0173 0.13968 0.225987
19.9394 5.90159 4.99193 5.2369
0.164866 7.91095 5.00179 1.81255
0.328453 10.1426 0.367568 0.5193
19.9628 11.9943 2.74258 5.5612
19.9547 14.0395 2.41687 5.44918
19.9265 16.1634 2.00711 1.86664
19.9132 18.1204 2.62008 2.52106
19.6569 0.244466 2.49832 5.36951
2.10403 2.14724 0.87984 3.9922
2.04052 3.90254 4.61227 1.42604
2.11306 6.0322 1.23649 4.28498
1.88094 7.90202 4.72351 1.69422
2.20973 9.93413 0.80916 0.845199
2.00858 11.4721 4.87933 4.73844
2.13926 13.7357 5.25265 5.35135
2.09273 16.0342 0.41515 3.48189
2.27807 17.957 0.119092 0.00426708
2.18322 0.137331 0.302669 0.511942
3.842 2.07806 2.15434 1.98536
4.04166 4.08733 1.80399 1.59231
3.43928 5.55351 3.8306 3.58317
4.03665 7.67777 4.79953 5.04907
4.2013 10.0709 0.148506 0.412856
3.99049 12.0358 5.73499 5.55543
4.34946 14.0818 0.240148 0.147823
