xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
240.556	161.333	2.07484	243.361	166.579	2.02494	242.125	164.25	2.05222	0.00161434	19	28.1421	3.31401	1.65931	0.865623	4.3662	1.69468	0.921602	7.07125	1.47814	0.977908	0	39
232.735	167.412	4.32972	235.262	160.981	4.31221	233.7	164.967	4.33593	9.07221e-05	15	32.9706	4.81512	1.63799	0.940362	3.4758	1.44376	0.90965	8.11515	1.33415	0.986393	0	40
1.60936	155.971	1.50152	0.666468	166.134	1.45263	1.10256	161.487	1.47607	0.00104074	17.5	43.0711	5.15401	1.40522	0.962114	6.51333	1.32835	0.978983	11.8096	1.0874	0.995752	0	41
42.8364	153.072	0.532413	33.4371	157.902	0.446901	38.377	155.361	0.480717	0.000377546	39.5	48.8701	6.40736	1.78594	0.960369	6.04388	1.89183	0.949748	12.2712	1.66005	0.990807	0	42
160.194	173.919	4.8327	157.303	157.647	4.62284	158.816	166.165	4.85154	0.00320801	61	95.2548	10.4503	1.91625	0.983044	10.0309	3.86712	0.9227	19.3366	3.29543	0.985371	0	43
239.279	152.617	4.20188	243.128	146.162	4.12368	240.97	149.758	4.17347	0.00024998	18	34.6274	4.77971	1.54577	0.946261	4.34888	1.49721	0.938869	8.87376	1.27427	0.989636	0	44
55.1632	142.827	0.656599	50.6567	146.211	0.747857	53.5	144.077	0.650365	0.000542305	14.5	25.5563	3.68242	1.69773	0.887381	2.86472	1.30749	0.889769	6.43114	1.33067	0.97836	0	45
2.64152	144.772	5.3344	6.15393	140.78	2.97072	4.61017	142.559	3.92334	0.00265472	34.5	58.1838	5.75631	2.49686	0.901028	5.3181	3.77894	0.703615	6.35357	5.14962	0.585727	0	46
70.6468	144.588	4.17149	78.5638	136.286	3.99851	73.5854	141.524	3.97007	0.000678486	48.5	79.4975	5.93166	4.47535	0.656317	7.01368	1.73558	0.968899	12.8178	3.63091	0.95904	0	47
65.6421	135.316	1.49373	62.7149	140.898	1.46911	64.0152	138.424	1.12391	0.000739523	43.5	55.8406	4.23963	3.93961	0.369489	4.85669	4.2211	0.494581	7.69743	4.07115	0.848686	0	48
12.7386	133.858	4.05302	16.3407	129.78	3.91099	14.0882	132.324	3.99816	0.000764979	22.5	26.3848	4.02278	1.94977	0.87469	2.79734	1.81327	0.761459	6.33062	1.73287	0.961807	0	49
99.6433	126.083	0.460097	92.9186	129.093	0.347729	96.9655	127.276	0.425689	0.000329773	14.5	31.5563	4.66794	1.44453	0.950913	3.6503	1.30765	0.933633	8.52789	1.14486	0.990948	0	50
106.035	122.036	5.7504	101.374	118.586	5.7077	104.296	120.778	5.66616	0.00108855	14.5	28.3848	4.04906	1.72954	0.904183	2.7738	1.53364	0.833246	6.62013	1.46412	0.975237	0	51
174.686	113.308	2.76234	182.795	115.736	2.91281	179.325	114.7	2.85713	0.000325192	22	38.1421	4.26955	1.53784	0.93288	5.94312	1.50355	0.967469	9.83666	1.32579	0.990875	0	52
96.7921	112.882	1.12702	93.8501	121.013	1.19238	95.1707	117.366	1.21162	0.00068243	23.5	39.2132	3.95967	1.71174	0.901733	5.90302	1.51961	0.966297	9.97008	1.41217	0.989918	0	53
182.764	110.626	6.19855	175.395	109.148	6.14031	179.64	110	6.10234	0.00029236	10	32.1421	3.93785	1.45299	0.929437	4.01136	1.2681	0.948717	8.36809	1.13869	0.990698	0	54
189.134	82.4916	2.98571	194.614	83.5323	2.93847	192.478	83.1304	2.95237	0.000181195	11	26.1421	2.60398	1.36871	0.850718	4.3133	1.49891	0.937677	6.5153	1.19893	0.982923	0	55
200.726	90.9804	4.46907	202.193	83.6009	4.43656	201.4	87.575	4.50114	0.000411727	24	36.6274	4.80737	1.72697	0.933247	4.16745	1.8032	0.901544	8.70624	1.5934	0.98311	0	56
301.6	84.8072	5.88763	295.192	80.7925	0.125419	298.795	83.0411	5.73478	0.000287945	43	69.598	4.49255	4.05708	0.429497	4.227	4.0016	0.322186	8.65887	4.00329	0.886706	0	57
254.911	78.1836	0.136062	250.144	78.9779	0.605115	253.143	78.4762	0.170897	0.00337914	10.5	21.0711	3.37877	1.53659	0.890605	2.10026	1.38534	0.751611	5.42985	1.31092	0.970419	0	58
198.007	69.7099	1.59825	197.799	75.6787	1.46608	197.882	73.3235	1.52068	0.00306909	20	27.6569	2.61278	1.8492	0.706462	4.63169	1.76036	0.924959	6.98258	1.55454	0.974903	0	59
203.756	73.7849	4.58657	204.999	66.0441	4.54521	204.233	70.7907	4.55447	0.00111376	25.5	36.7279	5.07452	1.83323	0.932464	3.85538	1.62851	0.90641	9.0594	1.57035	0.984862	0	60
200.262	55.5587	1.44917	198.615	61.5715	1.29907	199.303	59.0606	1.31139	0.00192663	19	28.4853	3.24978	1.61178	0.868342	4.45272	1.66133	0.927789	7.26447	1.45538	0.979726	0	61
280.354	59.3606	5.70436	272.96	54.3064	5.7177	276.93	57.0233	5.68827	3.81708e-05	26.5	38.8701	5.28318	1.61134	0.952354	4.99677	1.62365	0.945735	10.2465	1.40133	0.990604	0	62
99.0308	54.5319	3.40477	106.028	52.75	3.45384	103.175	53.475	3.40474	0.00027161	24.5	32.7279	3.63291	1.70392	0.883185	5.07545	1.72197	0.940687	8.40196	1.54338	0.982984	0	63
123.612	51.0334	6.25894	115.551	50.9941	0.00245971	120.167	51.0208	6.27535	1.17459e-05	30.5	34.2426	5.35079	1.89625	0.935099	4.02582	1.88032	0.884223	9.2679	1.60514	0.984888	0	64
145.008	46.8217	6.17811	134.378	47.1165	0.150721	140.146	46.9583	0.0187239	0.00129675	25.5	45.8995	6.49468	1.62146	0.968333	5.57727	1.64859	0.955315	12.1607	1.50843	0.992277	0	65
28.0596	54.8348	4.90298	27.385	47.4962	4.91285	27.7857	51.8214	4.82412	0.000503448	13.5	29.8995	4.09065	1.50138	0.93021	3.38092	1.31915	0.920742	8.12148	1.25995	0.987893	0	66
291.255	51.8467	5.63516	280.829	43.8737	5.64237	286.712	48.3729	5.63184	2.22147e-05	35.5	56.1838	8.01237	1.59574	0.979967	6.562	1.53812	0.972141	14.9685	1.35445	0.995898	0	67
3.98309	46.7671	4.30676	7.01859	39.8956	4.35294	5.11765	44.2059	4.3021	0.00164781	19	32.9706	4.87065	1.65181	0.940737	3.52191	1.3679	0.921492	8.47353	1.31875	0.987815	0	68
292.812	43.4644	1.28736	299.859	47.1946	3.13137	296.423	45.3784	2.69948	1.71304e-05	71.5	96.468	6.97691	4.30596	0.786827	7.54887	5.48885	0.686523	9.92987	6.39536	0.764982	0	69
284.059	36.0658	2.2571	287.772	38.8532	2.42157	286.35	37.8	2.47738	0.00049055	11.5	19.5563	2.04907	1.41163	0.724843	3.32787	1.49664	0.893165	5.25707	1.23012	0.972238	0	70
282.647	39.5558	5.5316	276.829	34.7297	5.56465	280.241	37.5517	5.58331	0.000114089	15.5	31.2132	4.3485	1.50774	0.937966	4.14312	1.35685	0.944853	8.53518	1.1934	0.990177	0	71
34.1486	32.7236	0.827548	30.2704	37.6717	0.970657	31.7692	35.7692	0.918999	0.0032972	13.5	28.3848	3.03956	1.39416	0.888606	4.46967	1.46212	0.944983	7.3385	1.18858	0.986797	0	72
305.686	31.4927	1.544	305.539	37.445	1.54555	305.609	34.6087	1.54611	0.000264857	10	27.3137	2.8759	1.59641	0.831784	4.12222	1.4011	0.940465	6.87325	1.12808	0.986439	0	73
284.896	31.7252	5.89398	278.025	28.2713	5.83605	281.781	30.1563	5.83008	0.000150914	17	32.9706	4.46577	1.47649	0.943763	3.80773	1.46964	0.922515	8.69597	1.26134	0.989424	0	74
202.277	28.7248	1.87064	202.46	34.0395	1.52011	202.381	31.7619	1.60768	0.00461033	9.5	22.2426	2.70896	1.46354	0.841499	3.56188	1.39159	0.920522	6.07985	1.12948	0.982592	0	75
309.466	30.3983	4.7227	309.045	22.7772	4.75021	309.296	27.2963	4.7597	0.00171896	11.5	33.5563	4.94179	1.36458	0.96112	3.67851	1.53881	0.908297	8.6816	1.12289	0.9916	0	76
200.868	18.3645	1.88195	201.248	22.5221	1.72415	201.087	20.7826	1.68086	0.00443666	13	18.8284	2.03343	1.68397	0.560516	3.18109	1.66795	0.851512	4.85257	1.46504	0.953337	0	77
40.4424	13.7743	3.5504	48.243	10.9019	3.55077	44.6389	12.2222	3.50881	4.43989e-06	18.5	39.2132	3.98457	1.63408	0.912039	5.19599	1.53793	0.955193	9.54418	1.36239	0.989759	0	78
1.78639	3.83106	2.11527	5.38834	10.34	2.04157	3.8	7.48571	2.07127	0.0147613	20.5	32.3848	3.04836	1.82158	0.801824	5.01949	1.52981	0.952425	8.49919	1.44525	0.985436	0	79
100.851	1.65887	5.79045	96.7832	0.277505	6.1145	99.65	1.25	5.92903	0.000595283	10.5	19.0711	3.08807	1.6764	0.839821	2.19286	1.15974	0.848702	4.75455	1.3617	0.958111	0	80
66.1339	270.723	2.12279	76.016	279.68	2.59151	71.1754	275.298	2.40329	0.00129873	32.5	57.3553	6.5482	1.62414	0.968753	7.2687	1.65357	0.97378	14.915	2.08892	0.990144	1	2
278.542	278.44	3.4287	288.615	275.825	3.42384	284.178	276.978	3.40322	7.10849e-06	24	44.9706	4.94311	1.53642	0.950469	6.96469	1.54985	0.974926	12.0144	1.32169	0.993931	1	3
31.0335	272.427	2.67441	37.7936	278.372	2.36	34.8269	275.75	2.42156	0.00426923	35.5	39.6985	3.9727	2.04677	0.857065	6.16994	1.69453	0.961546	10.3929	1.77657	0.985281	1	4
211.155	274.89	1.28775	209.186	280.397	1.22102	209.931	278.31	1.22482	0.000264339	15.5	30.3848	2.58825	1.59726	0.786869	4.54787	1.73895	0.924011	6.9102	1.47975	0.976803	1	5
228.054	270.045	5.30503	224.814	264.802	4.98852	226.667	267.8	5.25046	0.00468091	17.5	27.5563	3.86745	1.70208	0.897947	3.12177	1.53418	0.870908	6.99245	1.49483	0.976882	1	7
