,spot ID,Track ID,x (micron),y (micron),T (sec),Frame,Classification,squared displacement,vx,vy,speed,diff time autocorrelation,distance to nearest AC,smooth avg speed
2304,122791,11,115.3335209,106.1565192,274.4186516,82,After_Contact,1157.461416508239,0.0,-0.1241379610194889,0.1241379610194889,0.0,19.235641376140933,0.0
2305,122794,11,114.9885208,105.5355191,277.7652206,83,After_Contact,1187.32241757484,-0.1034483058470743,-0.1862069265367326,0.2130130781733506,0.0231153481879757,19.894462680522366,0.1241379610194889
2306,122797,11,115.1265208,105.121519,281.1117895,84,After_Contact,1217.5071694842406,0.0413793103448248,-0.1241379610194889,0.1308528971428966,0.0188347286356833,20.28789400851141,0.2130130781733506
2307,122800,11,115.3335209,104.707519,284.4583584,85,After_Contact,1249.9438710816414,0.0620689955022494,-0.1241379310344832,0.1387904395993484,0.0179786018714777,20.675451475875864,0.1308528971428966
2308,122803,11,115.3335209,104.5005189,287.8049273,86,After_Contact,1263.4984470930426,0.0,-0.0620689955022494,0.0620689955022494,0.0077051166830378,20.88124249218407,0.1387904395993484
2309,122806,11,115.816521,104.2935189,291.1514962,87,After_Contact,1290.5028468072437,0.1448276161919034,-0.0620689655172437,0.1575677469922385,0.003852558341519,21.041174635231236,0.0620689955022494
2310,122809,11,115.816521,104.2935189,294.4980652,88,After_Contact,1290.5028468072437,0.0,0.0,0.0,0.0,21.041174635231236,0.1575677469922385
2311,122812,11,115.954521,104.3625189,297.8446341,89,After_Contact,1289.8505896968436,0.0413793103448291,0.0206896551724145,0.0462634753965491,0.0,20.961290667191705,0.0
2312,122815,11,115.954521,104.0865188,301.191203,90,After_Contact,1308.1328396604451,0.0,-0.082758650674664,0.082758650674664,-0.0017122479449931,21.23647447757265,0.0462634753965491
2313,122818,11,116.092521,103.8105188,304.5377719,91,After_Contact,1330.509543745245,0.0413793103448291,-0.082758620689654,0.0925269507930944,0.006848991779972,21.501717458263524,0.082758650674664
2314,122821,11,116.092521,103.8105188,307.8843409,92,After_Contact,1330.509543745245,0.0,0.0,0.0,0.0,21.501717458263524,0.0925269507930944
2315,122824,11,116.092521,103.8105188,311.2309098,93,After_Contact,1330.509543745245,0.0,0.0,0.0,0.0,21.501717458263524,0.0
2316,122827,11,116.7135211,103.3965187,314.5774787,94,After_Contact,1376.6579348094465,0.1862069265367283,-0.1241379610194889,0.2237928793691405,0.0,21.88148560703762,0.0
2317,122830,11,116.8515212,102.7065186,317.9240476,95,After_Contact,1428.1338860604485,0.0413793403298348,-0.2068965817091472,0.2109939461905534,0.0333888395802114,22.566113993211047,0.2237928793691405
2318,122833,11,116.8515212,102.7065186,321.2706165,96,After_Contact,1428.1338860604485,0.0,0.0,0.0,0.0,22.566113993211047,0.2109939461905534
2319,122836,11,116.8515212,102.7755186,324.6171855,97,After_Contact,1423.3586021910482,0.0,0.0206896551724145,0.0206896551724145,0.0,22.49714967104489,0.0
2320,122839,11,117.0585212,102.7065186,327.9637544,98,After_Contact,1434.4326902196487,0.0620689655172437,-0.0206896551724145,0.0654264343483137,-0.0004280618311534,22.560417007036804,0.0206896551724145
2321,122842,11,117.0585212,102.7755186,331.3103233,99,After_Contact,1429.6574063502485,0.0,0.0206896551724145,0.0206896551724145,-0.0004280618311534,22.491435216503977,0.0654264343483137
2322,122845,11,117.1965212,102.4305185,334.6568922,100,After_Contact,1457.8758654528494,0.0413793103448291,-0.1034483058470743,0.1114172307466108,-0.0021403097761464,22.83363505185916,0.0206896551724145
2323,122848,11,117.0585212,102.3615185,338.0034612,101,After_Contact,1458.4519465632495,-0.0413793103448291,-0.0206896551724145,0.0462634753965491,0.0004280624515327,22.905327705084066,0.1114172307466108
2324,122851,11,117.3345212,101.9475185,341.3500301,102,After_Contact,1496.1209854080494,0.082758620689654,-0.1241379310344832,0.1491952251916131,-0.0008561236623067,23.3147320735558,0.0462634753965491
2325,122854,11,117.3690212,101.7405184,344.696599,103,After_Contact,1511.8953786216512,0.0103448275862094,-0.0620689955022494,0.062925159200805,0.0085612403453448,23.521392282762257,0.1491952251916131
2326,122857,11,117.5242713,101.4817684,348.0431679,104,After_Contact,1535.2641593865508,0.0465517541229353,-0.0775862068965493,0.0904803034506206,0.0052972677971358,23.77928786454384,0.062925159200805
2327,122860,11,117.9382713,101.3265183,351.3897368,105,After_Contact,1559.6639984471024,0.1241379310344832,-0.0465517541229395,0.1325793789902665,0.0093906124696268,23.93722320450804,0.0904803034506206
2328,122863,11,117.8865213,101.2747683,354.7363058,106,After_Contact,1561.720750830052,-0.0155172413793098,-0.0155172413793098,0.021944693209237,-0.0012039234348342,23.988241591326325,0.1325793789902665
2329,122866,11,118.4040214,101.0677683,358.0828747,107,After_Contact,1593.6754016466537,0.1551724437781129,-0.0620689655172437,0.1671258321997303,-0.0014447091454272,23.916333040697165,0.021944693209237
2330,122869,11,119.1802716,100.8090182,361.4294436,108,After_Contact,1638.988241502656,0.2327586806596679,-0.0775862368815593,0.245349195180809,0.0409334307501442,23.53799861970635,0.1671258321997303
2331,122872,11,119.5942716,100.9125183,364.7760125,109,After_Contact,1646.0476082289545,0.1241379310344832,0.0310345127436297,0.1279584577226399,0.0264863299901761,23.17273796125528,0.245349195180809
2332,122875,11,119.8530217,100.9642683,368.1225815,110,After_Contact,1651.585846074355,0.0775862368815593,0.0155172413793098,0.0791227459929519,0.0101129649485602,22.954803304390477,0.1279584577226399
2333,122878,11,119.8530217,101.0160183,371.4691504,111,After_Contact,1647.8231675787551,0.0,0.0155172413793098,0.0155172413793098,0.0002407847800237,22.917722117933227,0.0791227459929519
2334,122881,11,120.5257718,100.6537682,374.8157193,112,After_Contact,1699.0973725208073,0.2017241679160425,-0.108620719640179,0.229109363965269,-0.0016854939254509,22.71931968452855,0.0155172413793098
