,spot ID,Track ID,x (micron),y (micron),T (sec),Frame,Classification,squared displacement,vx,vy,speed,diff time autocorrelation
389,4538,1,159.8816539,103.5517687,625.8083885,187,After_Contact,546.9234199077927,-0.0155172413793098,-0.0543103748125945,0.056483640041239,-0.0015049055730754952
390,4541,1,160.036904,103.4741437,629.1549574,188,After_Contact,554.505690417393,0.0465517541229353,-0.0232758620689648,0.0520464366405203,0.0005417659876958624
391,4544,1,159.985154,103.4741437,632.5015263,189,After_Contact,552.0811507223431,-0.0155172413793098,0.0,0.0155172413793098,-0.0007223548053558672
392,4547,1,160.036904,103.3706437,635.8480952,190,After_Contact,554.957390375193,0.0155172413793098,-0.0310344827586197,0.0346976065474094,-0.0002407847800237643
393,4550,1,159.8816539,103.4482687,639.1946642,191,After_Contact,547.3590514905926,-0.0465517541229353,0.0232758620689648,0.0520464366405203,-0.0014447091454271657
394,4553,1,159.985154,103.6293938,642.5412331,192,After_Contact,551.443771328118,0.0310345127436254,0.0543103748125945,0.0625520406822891,-0.00018059021351462222
395,4556,1,160.011029,103.6035188,645.887802,193,After_Contact,552.7582539099186,0.0077586206896591,-0.0077586206896549,0.0109723466046215,-0.00018058858501772705
396,4559,1,159.8557789,103.7587688,649.2343709,194,After_Contact,544.9115247025669,-0.0465517541229438,0.0465517241379296,0.0658341008303213,-0.0007223545727138431
397,4562,1,159.959279,103.5776437,652.5809398,195,After_Contact,550.4406139638937,0.0310345127436339,-0.0543103748125945,0.0625520406822933,-0.003972952592670471
398,4566,1,159.7781539,103.7587688,655.9275088,196,After_Contact,541.3048433786427,-0.0543103748125945,0.0543103748125945,0.0768064686375373,-0.004635112831517497
399,4569,1,159.9075289,103.4482687,659.2740777,197,After_Contact,548.5652956923169,0.0387931034482704,-0.0931034782608691,0.1008620966439839,-0.007163352789123363
400,4572,1,159.8557789,103.6035188,662.6206466,198,After_Contact,545.5087327332169,-0.0155172413793098,0.0465517541229395,0.049069854207511,-0.004936092178049768
401,4575,1,160.011029,103.6552688,665.9672155,199,After_Contact,552.5538284413686,0.0465517541229438,0.0155172413793098,0.049069854207515,-6.678685382510707e-17
402,4579,1,160.062779,103.0860187,669.3137845,200,After_Contact,557.5243137316686,0.0155172413793098,-0.1706896851574227,0.1713935628871863,-0.0019262782401901221
403,4582,1,160.476779,101.7922684,672.6603534,201,After_Contact,585.3252874269184,0.1241379310344789,-0.3879311244377809,0.407309198556922,0.0681421197332399
405,4924,2,116.5927711,67.99951231,3.346568922,1,Before_Contact,0.0455270790600001,0.0155172413793098,-0.0620689775112434,0.0639792368609927,0.0
406,4927,2,116.4892711,67.89601229,6.693137845,2,Before_Contact,0.0990883497600005,-0.0310344827586197,-0.0310344887556217,0.043889390658995,0.0014447094245980893
407,4931,2,116.5927711,67.53376222,10.03970677,3,Before_Contact,0.4552707999150129,0.0310344827586197,-0.1086207106446782,0.1129672426017824,0.0024078491030348403
408,4934,2,116.5410211,67.74076226,13.38627569,4,Before_Contact,0.2169231463350083,-0.0155172413793098,0.0620689775112434,0.0639792368609927,-0.007223546006307337
409,4937,2,116.4892711,67.27501218,16.73284461,5,Before_Contact,0.8703706292100147,-0.0155172413793098,-0.1396551964017968,0.1405146208123845,-0.00842747046476764
410,4940,2,116.3340211,67.01626213,20.07941353,6,Before_Contact,1.4595445862100358,-0.0465517241379296,-0.0775862218890564,0.0904803008794279,0.011557673396060852
411,4943,2,116.3857711,66.96451212,23.42598246,7,Before_Contact,1.5666671338200566,0.0155172413793098,-0.0155172443778129,0.021944695329499,0.00048157002533240855
412,4947,2,116.5927711,66.91276211,26.77255138,8,Before_Contact,1.6764677460000426,0.0620689655172394,-0.0155172443778087,0.0639792259523425,0.0012039239931757612
413,4950,2,116.6962711,66.75751208,30.1191203,9,Before_Contact,2.123704344960073,0.0310344827586239,-0.0465517331334347,0.0559482169315685,0.002648632859432428
414,4953,2,116.7480211,66.65401206,33.46568922,10,Before_Contact,2.45310615045008,0.0155172413793098,-0.0310344887556217,0.0346976119112912,0.0019262787985318767
415,4956,2,116.6962711,66.44701203,36.81225815,11,Before_Contact,3.1199439385801084,-0.0155172413793098,-0.0620689745127445,0.0639792339520215,0.0016854941115649748
416,4959,2,116.6962711,65.98126194,40.15882707,12,Before_Contact,4.975841949705176,0.0,-0.1396551994002999,0.1396551994002999,0.008668255012149465
417,4962,2,116.4375211,65.87776192,43.50539599,13,Before_Contact,5.433790815225182,-0.0775862068965536,-0.0310344887556217,0.0835629044069055,0.004334127715452714
418,4965,2,116.4375211,65.41201184,46.85196491,14,Before_Contact,7.819945350390213,0.0,-0.1396551964017968,0.1396551964017968,0.004334127622395703
419,4968,2,116.3857711,64.73926172,50.19853383,15,Before_Contact,12.04592949373536,-0.0155172413793098,-0.2017241739130445,0.2023201105202446,0.028171829126816445
420,4971,2,116.6445211,63.80776155,53.54510276,16,Before_Contact,19.3597208505006,0.0775862068965536,-0.2793103958020988,0.2898860408914508,0.055139734958384985
421,4974,2,116.7997711,63.39376147,56.89167168,17,Before_Contact,23.229522595440734,0.0465517241379296,-0.124137955022489,0.1325793909224937,0.03828479305175124
422,4977,2,116.5927711,62.51401132,60.2382406,18,Before_Contact,32.40724603905101,-0.0620689655172437,-0.263793148425787,0.2709970140735319,0.02985732463423572
423,4980,2,116.7997711,61.68601117,63.58480952,19,Before_Contact,42.58388720088135,0.0620689655172437,-0.2482759070464771,0.2559169445350029,0.06164092671767744
424,4983,2,116.8515212,60.90976102,66.93137845,20,Before_Contact,53.33899028395677,0.0155172713643155,-0.2327586656671672,0.2332753355023928,0.05875150982267706
425,4986,2,116.5410211,60.08176087,70.27794737,21,Before_Contact,66.0115866117622,-0.0931034782608691,-0.2482759070464771,0.2651587895658431,0.056343656904308086
426,4989,2,116.6445211,59.56426078,73.62451629,22,Before_Contact,74.69922444916745,0.0310344827586239,-0.1551724407796098,0.1582454596429131,0.035636160192318515
427,4992,2,116.6962711,59.46076076,76.97108521,23,Before_Contact,76.51227343648749,0.0155172413793098,-0.0310344887556217,0.0346976119112912,0.00529726692860477
428,4995,2,116.6962711,59.04676069,80.31765414,24,Before_Contact,83.92515303537272,0.0,-0.124137952023988,0.124137952023988,0.0038525578762343615
429,4998,2,117.0585212,59.04676069,83.66422306,25,Before_Contact,84.16885682637273,0.108620719640179,0.0,0.108620719640179,0.0
430,5001,2,117.5242713,58.68451062,87.01079198,26,Before_Contact,91.63529790192302,0.1396552023987987,-0.1086207106446782,0.1769238094152518,0.015169448586052367
431,5004,2,117.9900214,58.42576058,90.3573609,27,Before_Contact,97.76270705575816,0.139655202398803,-0.0775862188905533,0.159759810086215,0.027931045789175483
432,5007,2,118.3005214,58.32226056,93.70392982,28,Before_Contact,100.7942747538183,0.0931034482758592,-0.0310344887556238,0.0981396534188833,0.015410229550741845
433,5010,2,119.0767716,57.90826048,97.05049875,29,Before_Contact,112.48402217620868,0.2327586806596722,-0.1241379550224869,0.2637931676514694,0.025523193754846525
434,5013,2,120.4222718,57.85651047,100.3970677,30,Before_Contact,122.18664591225397,0.403448335832085,-0.0155172443778108,0.4037466341144649,0.09583238134726207
435,5016,2,121.509022,57.85651047,103.7436366,31,Before_Contact,131.8035718584043,0.3258621289355314,0.0,0.3258621289355314,0.13146853362974045
436,5019,2,121.353772,57.54601042,107.0902055,32,Before_Contact,136.80887262498456,-0.0465517241379296,-0.0931034632683663,0.1040928330519346,-0.015169443933205306
437,5022,2,122.0265221,57.80476046,110.4367744,33,Before_Contact,138.28716360211956,0.2017241679160382,0.0775862188905533,0.2161301952137897,-0.016614153497388855
438,5025,2,123.0097723,57.70126044,113.7833434,34,Before_Contact,152.20505978006005,0.2948276461769117,-0.0310344887556217,0.2964565405629315,0.057066012965931556
439,5028,2,123.5790224,57.85651047,117.1299123,35,Before_Contact,156.65600121480517,0.1706896851574227,0.0465517331334347,0.1769238041555365,0.048879328863156796
440,5031,2,123.9930224,58.0117605,120.4764812,36,Before_Contact,159.46528865828012,0.1241379310344832,0.0465517331334325,0.1325793716203559,0.023356128222096206
441,5034,2,124.5105225,57.75301045,123.8230501,37,Before_Contact,172.78865453790553,0.1551724437781086,-0.0775862218890564,0.1734880662613085,0.015651013027968435
442,5037,2,124.9245226,57.75301045,127.169619,38,Before_Contact,179.55879937380598,0.1241379610194931,0.0,0.1241379610194931,0.01926279077702633
443,5040,2,125.1832727,57.80476046,130.516188,39,Before_Contact,182.88495509882128,0.0775862368815593,0.0155172443778108,0.0791227465810062,0.009631397249652167
444,5043,2,125.7525228,57.96001049,133.8627569,40,Before_Contact,189.84256393608624,0.1706896851574185,0.0465517331334347,0.1769238041555324,0.013965524965104387
445,5046,2,126.2182728,58.11526052,137.2093258,41,Before_Contact,195.4825639616312,0.139655172413793,0.0465517331334325,0.147209480128328,0.026004761267641743
446,5049,2,126.4770229,58.32226056,140.5558947,42,Before_Contact,196.42256521772143,0.0775862368815593,0.0620689775112434,0.0993588552809093,0.013724737765599975
447,5052,2,127.098023,58.32226056,143.9024637,43,Before_Contact,209.14872256472188,0.1862069265367326,0.0,0.1862069265367326,0.014447094711266047
448,5055,2,127.8742731,58.42576058,147.2490326,44,Before_Contact,224.10570608186208,0.2327586506746622,0.0310344887556238,0.2348185021590343,0.04334127296696583
449,5058,2,128.5470233,58.63276061,150.5956015,45,Before_Contact,235.80081120555812,0.2017241979010525,0.0620689745127424,0.2110573609611531,0.04887933100346631
450,5061,2,129.2715234,58.83976065,153.9421704,46,Before_Contact,249.8017262197584,0.2172414092953523,0.0620689775112455,0.2259344769660494,0.047675406824176675
451,5064,2,130.2030236,59.0985107,157.2887393,47,Before_Contact,269.60600636640896,0.2793104047975975,0.0775862218890543,0.2898860535714255,0.06549348343069962
452,5067,2,130.2030236,58.89151066,160.6353083,48,Before_Contact,273.419568794709,0.0,-0.0620689775112434,0.0620689775112434,-0.0048156974616140515
453,5070,2,130.5135236,58.78801064,163.9818772,49,Before_Contact,283.9390005737796,0.0931034482758677,-0.0310344887556217,0.0981396534188907,0.0019262789846456194
